0.2	0.41
0.256	0.526
0.312	0.616
0.368	0.71
0.424	0.798
0.48	0.859
0.536	0.913
0.592	0.958
0.648	0.977
0.704	0.988
0.76	0.991
0.816	0.996
0.872	1
0.928	0.998
0.984	1
1.04	0.999
1.096	0.996
1.152	0.995
1.208	0.989
1.264	0.99
1.32	0.975
1.376	0.95
1.432	0.922
1.488	0.895
1.544	0.866
1.6	0.821
1.656	0.785
1.712	0.699
1.768	0.641
1.824	0.611
1.88	0.568
1.936	0.481
1.992	0.462
2.048	0.401
2.104	0.386
2.16	0.362
2.216	0.333
2.272	0.281
2.328	0.267
2.384	0.242
2.44	0.198
2.496	0.177
2.552	0.177
2.608	0.129
2.664	0.145
2.72	0.132
2.776	0.102
2.832	0.089
2.888	0.084
2.944	0.092
