0.1	0.20791
0.129	0.26942
0.158	0.32704
0.187	0.38168
0.216	0.444
0.245	0.50148
0.274	0.55686
0.303	0.61503
0.332	0.66131
0.361	0.71041
0.39	0.75824
0.419	0.79977
0.448	0.83505
0.477	0.86868
0.506	0.89608
0.535	0.91866
0.564	0.9385
0.593	0.95414
0.622	0.96519
0.651	0.97447
0.68	0.98209
0.709	0.98764
0.738	0.99079
0.767	0.99392
0.796	0.99592
0.825	0.99701
0.854	0.99796
0.883	0.99836
0.912	0.99854
0.941	0.99905
0.97	0.99903
0.999	0.99904
1.028	0.99873
1.057	0.99857
1.086	0.99807
1.115	0.99734
1.144	0.99607
1.173	0.99337
1.202	0.99157
1.231	0.988
1.26	0.98346
1.289	0.97808
1.318	0.9706
1.347	0.96137
1.376	0.95033
1.405	0.93911
1.434	0.92496
1.463	0.90733
1.492	0.89114
1.521	0.87358
1.55	0.85034
1.579	0.82953
1.608	0.80366
1.637	0.78027
1.666	0.75321
1.695	0.72925
1.724	0.70131
1.753	0.67535
1.782	0.64926
1.811	0.62139
1.84	0.59645
1.869	0.56929
1.898	0.54412
1.927	0.51958
1.956	0.49319
1.985	0.47043
2.014	0.44803
2.043	0.42905
2.072	0.40565
2.101	0.38398
2.13	0.36181
2.159	0.34512
2.188	0.33073
2.217	0.31241
2.246	0.2972
2.275	0.2808
2.304	0.26565
2.333	0.25118
2.362	0.23877
2.391	0.22588
2.42	0.21432
2.449	0.20151
2.478	0.19171
2.507	0.18192
2.536	0.17256
2.565	0.16346
2.594	0.15719
2.623	0.14701
2.652	0.14108
2.681	0.13416
2.71	0.12592
2.739	0.12091
2.768	0.1151
2.797	0.10862
2.826	0.10422
2.855	0.09848
2.884	0.09468
2.913	0.08886
2.942	0.08672
2.971	0.08015
