"Time"	"Displacement"	"Bins"	"Mod"	"Velocity"
"1"	0	0	1	"r8"	NA
"2"	1	0.1005	4	"r8"	0.1005
"3"	2	0.1983	5	"r8"	0.0978
"4"	3	0.2968	6	"r8"	0.0985
"5"	4	0.3986	6	"r8"	0.1018
"6"	5	0.501	6	"r8"	0.1024
"7"	6	0.6004	7	"r8"	0.0994
"8"	7	0.6983	7	"r8"	0.0979
"9"	8	0.8033	8	"r8"	0.105
"10"	9	0.9015	8	"r8"	0.0982
"11"	10	1.005	9	"r8"	0.1035
"12"	11	1.1045	10	"r8"	0.0995000000000001
"13"	12	1.2034	10	"r8"	0.0989
"14"	13	1.3064	10	"r8"	0.103
"15"	14	1.4107	10	"r8"	0.1043
"16"	15	1.5106	10	"r8"	0.0998999999999999
"17"	16	1.6179	10	"r8"	0.1073
"18"	17	1.7145	10	"r8"	0.0966
"19"	18	1.8138	10	"r8"	0.0993000000000002
"20"	19	1.916	10	"r8"	0.1022
"21"	20	2.017	10	"r8"	0.101
"22"	21	2.1161	10	"r8"	0.0991
"23"	22	2.2196	10	"r8"	0.1035
"24"	23	2.319	10	"r8"	0.0994000000000002
"25"	24	2.4165	10	"r8"	0.0975000000000001
"26"	25	2.5143	10	"r8"	0.0977999999999999
"27"	26	2.608	10	"r8"	0.0937000000000001
"28"	27	2.7014	10	"r8"	0.0933999999999999
"29"	28	2.7919	10	"r8"	0.0905
"30"	29	2.8829	10	"r8"	0.0909999999999997
"31"	30	2.9776	10	"r8"	0.0947
"32"	31	3.0749	10	"r8"	0.0973000000000002
"33"	32	3.167	10	"r8"	0.0920999999999998
"34"	33	3.261	10	"r8"	0.0940000000000003
"35"	34	3.3525	10	"r8"	0.0914999999999999
"36"	35	3.438	10	"r8"	0.0855000000000001
"37"	36	3.5167	10	"r8"	0.0787
"38"	37	3.5924	10	"r8"	0.0756999999999999
"39"	38	3.6757	10	"r8"	0.0832999999999999
"40"	39	3.7535	10	"r8"	0.0777999999999999
"41"	40	3.835	10	"r8"	0.0815000000000001
"42"	41	3.9053	10	"r8"	0.0703
"43"	42	3.9793	10	"r8"	0.0739999999999998
"44"	43	4.0494	10	"r8"	0.0701000000000005
"45"	44	4.1159	10	"r8"	0.0664999999999996
"46"	45	4.1945	10	"r8"	0.0785999999999998
"47"	46	4.272	10	"r8"	0.0775000000000006
"48"	47	4.3524	10	"r8"	0.0804
"49"	48	4.4234	10	"r8"	0.0709999999999997
"50"	49	4.4872	10	"r8"	0.0637999999999996
"51"	50	4.5578	10	"r8"	0.0706000000000007
"52"	51	4.6179	10	"r8"	0.0600999999999994
"53"	52	4.6716	10	"r8"	0.0537000000000001
"54"	53	4.728	10	"r8"	0.0564
"55"	54	4.7861	10	"r8"	0.0581000000000005
"56"	55	4.8448	10	"r8"	0.0587
"57"	56	4.8969	10	"r8"	0.0520999999999994
"58"	57	4.9513	10	"r8"	0.0544000000000002
"59"	58	5.0062	10	"r8"	0.0548999999999999
"60"	59	5.0533	10	"r8"	0.0471000000000004
"61"	60	5.1063	10	"r8"	0.0529999999999999
"62"	61	5.16	10	"r8"	0.0537000000000001
"63"	62	5.2115	10	"r8"	0.0514999999999999
"64"	63	5.2607	10	"r8"	0.0491999999999999
"65"	64	5.3136	10	"r8"	0.0529000000000002
"66"	65	5.3541	10	"r8"	0.0404999999999998
"67"	66	5.4073	10	"r8"	0.0532000000000004
"68"	67	5.4557	10	"r8"	0.0484
"69"	68	5.4991	10	"r8"	0.0434000000000001
"70"	69	5.5469	10	"r8"	0.0477999999999996
"71"	70	5.5933	10	"r8"	0.0464000000000002
"72"	71	5.6385	10	"r8"	0.0451999999999995
"73"	72	5.6759	10	"r8"	0.0374000000000008
"74"	73	5.7192	10	"r8"	0.0432999999999995
"75"	74	5.7566	10	"r8"	0.0373999999999999
"76"	75	5.8044	10	"r8"	0.0478000000000005
"77"	76	5.8482	10	"r8"	0.0438000000000001
"78"	77	5.8863	10	"r8"	0.0381
"79"	78	5.9344	10	"r8"	0.0480999999999998
"80"	79	5.9739	10	"r8"	0.0395000000000003
"81"	80	6.0176	10	"r8"	0.0436999999999994
"82"	81	6.0699	10	"r8"	0.0522999999999998
"83"	82	6.1051	10	"r8"	0.0352000000000006
"84"	83	6.1424	10	"r8"	0.0373000000000001
"85"	84	6.1799	10	"r8"	0.0374999999999996
"86"	85	6.2169	10	"r8"	0.0369999999999999
"87"	86	6.244	10	"r8"	0.0270999999999999
"88"	87	6.2867	10	"r8"	0.0427
"89"	88	6.3259	10	"r8"	0.0392000000000001
"90"	89	6.3695	10	"r8"	0.0436000000000005
"91"	90	6.4134	10	"r8"	0.0438999999999998
"92"	91	6.4514	10	"r8"	0.0379999999999994
"93"	92	6.4911	10	"r8"	0.0397000000000007
"94"	93	6.5367	10	"r8"	0.0455999999999994
"95"	94	6.5713	10	"r8"	0.0346000000000002
"96"	95	6.6022	10	"r8"	0.0308999999999999
"97"	96	6.6402	10	"r8"	0.0380000000000003
"98"	97	6.6843	10	"r8"	0.0441000000000003
"99"	98	6.7255	10	"r8"	0.0411999999999999
"100"	99	6.7719	10	"r8"	0.0463999999999993
"101"	100	6.8119	10	"r8"	0.04
"102"	101	6.8469	10	"r8"	0.0350000000000001
"103"	102	6.888	10	"r8"	0.0411000000000001
"104"	103	6.9313	10	"r8"	0.0433000000000003
"105"	104	6.9722	10	"r8"	0.0408999999999997
