"Time"	"Displacement"	"Bins"	"Mod"	"Velocity"
"1"	0	0	1	"r3"	NA
"2"	1	0.1004	4	"r3"	0.1004
"3"	2	0.2011	6	"r3"	0.1007
"4"	3	0.2987	6	"r3"	0.0976
"5"	4	0.3942	7	"r3"	0.0955
"6"	5	0.483	8	"r3"	0.0888
"7"	6	0.5688	7	"r3"	0.0858
"8"	7	0.6537	7	"r3"	0.0849
"9"	8	0.7357	7	"r3"	0.0820000000000001
"10"	9	0.8092	8	"r3"	0.0735
"11"	10	0.8799	8	"r3"	0.0707
"12"	11	0.95	9	"r3"	0.0700999999999999
"13"	12	1.0128	9	"r3"	0.0628
"14"	13	1.0712	9	"r3"	0.0584
"15"	14	1.1293	10	"r3"	0.0581
"16"	15	1.1863	10	"r3"	0.0569999999999999
"17"	16	1.2392	10	"r3"	0.0529000000000002
"18"	17	1.2916	10	"r3"	0.0524
"19"	18	1.3453	10	"r3"	0.0536999999999999
"20"	19	1.3937	10	"r3"	0.0484
"21"	20	1.4445	10	"r3"	0.0508
"22"	21	1.489	10	"r3"	0.0445000000000002
"23"	22	1.5316	10	"r3"	0.0426
"24"	23	1.5774	10	"r3"	0.0457999999999998
"25"	24	1.6198	10	"r3"	0.0424
"26"	25	1.6669	10	"r3"	0.0471000000000001
"27"	26	1.7112	10	"r3"	0.0443
"28"	27	1.7636	10	"r3"	0.0524
"29"	28	1.8164	10	"r3"	0.0528
"30"	29	1.8669	10	"r3"	0.0505
"31"	30	1.916	10	"r3"	0.0490999999999999
"32"	31	1.9701	10	"r3"	0.0541
"33"	32	2.0203	10	"r3"	0.0502000000000002
"34"	33	2.076	10	"r3"	0.0556999999999999
"35"	34	2.1378	10	"r3"	0.0617999999999999
"36"	35	2.2042	10	"r3"	0.0664000000000002
"37"	36	2.2666	10	"r3"	0.0623999999999998
"38"	37	2.3306	10	"r3"	0.0640000000000001
"39"	38	2.4007	10	"r3"	0.0701000000000001
"40"	39	2.4697	10	"r3"	0.069
"41"	40	2.5458	10	"r3"	0.0760999999999998
"42"	41	2.6306	10	"r3"	0.0848
"43"	42	2.7264	10	"r3"	0.0958000000000001
"44"	43	2.8186	10	"r3"	0.0922000000000001
"45"	44	2.9082	10	"r3"	0.0895999999999999
"46"	45	3.0059	10	"r3"	0.0977000000000001
"47"	46	3.0958	10	"r3"	0.0899000000000001
"48"	47	3.2091	10	"r3"	0.1133
"49"	48	3.3224	10	"r3"	0.1133
"50"	49	3.4428	10	"r3"	0.1204
"51"	50	3.5577	10	"r3"	0.1149
"52"	51	3.6672	10	"r3"	0.1095
"53"	52	3.7815	10	"r3"	0.1143
"54"	53	3.9072	10	"r3"	0.1257
"55"	54	4.0418	10	"r3"	0.1346
"56"	55	4.1752	10	"r3"	0.1334
"57"	56	4.3049	10	"r3"	0.1297
"58"	57	4.4344	10	"r3"	0.1295
"59"	58	4.5691	10	"r3"	0.1347
"60"	59	4.7135	10	"r3"	0.1444
"61"	60	4.8324	10	"r3"	0.1189
"62"	61	4.9792	10	"r3"	0.1468
"63"	62	5.1267	10	"r3"	0.1475
"64"	63	5.2489	10	"r3"	0.1222
"65"	64	5.3954	10	"r3"	0.146500000000001
"66"	65	5.5258	10	"r3"	0.1304
"67"	66	5.6544	10	"r3"	0.1286
"68"	67	5.7824	10	"r3"	0.128
"69"	68	5.8952	10	"r3"	0.1128
"70"	69	6.0147	10	"r3"	0.1195
"71"	70	6.1298	10	"r3"	0.1151
"72"	71	6.247	10	"r3"	0.1172
"73"	72	6.3672	10	"r3"	0.120200000000001
"74"	73	6.4897	10	"r3"	0.1225
"75"	74	6.6	10	"r3"	0.1103
"76"	75	6.6993	10	"r3"	0.0993000000000004
"77"	76	6.8137	10	"r3"	0.1144
"78"	77	6.9238	10	"r3"	0.1101
"79"	78	7.0275	10	"r3"	0.1037
"80"	79	7.1123	10	"r3"	0.0848000000000004
"81"	80	7.2085	10	"r3"	0.0961999999999996
"82"	81	7.2953	10	"r3"	0.0868000000000002
"83"	82	7.3843	10	"r3"	0.0889999999999995
"84"	83	7.4664	10	"r3"	0.0821000000000005
"85"	84	7.544	10	"r3"	0.0775999999999994
"86"	85	7.6212	10	"r3"	0.0772000000000004
"87"	86	7.6878	10	"r3"	0.0666000000000002
"88"	87	7.7584	10	"r3"	0.0705999999999998
"89"	88	7.814	10	"r3"	0.0556000000000001
"90"	89	7.8744	10	"r3"	0.0603999999999996
"91"	90	7.9414	10	"r3"	0.0670000000000002
"92"	91	7.9952	10	"r3"	0.0537999999999998
"93"	92	8.0444	10	"r3"	0.0491999999999999
"94"	93	8.0922	10	"r3"	0.0478000000000005
"95"	94	8.144	10	"r3"	0.0518000000000001
"96"	95	8.1925	10	"r3"	0.0485000000000007
"97"	96	8.2395	10	"r3"	0.0469999999999988
"98"	97	8.2751	10	"r3"	0.0356000000000005
"99"	98	8.3127	10	"r3"	0.0375999999999994
"100"	99	8.3554	10	"r3"	0.0427
"101"	100	8.3875	10	"r3"	0.0320999999999998
"102"	101	8.4203	10	"r3"	0.0327999999999999
"103"	102	8.4522	10	"r3"	0.0319000000000003
"104"	103	8.4863	10	"r3"	0.0341000000000005
"105"	104	8.5157	10	"r3"	0.0294000000000008
"106"	105	8.5414	10	"r3"	0.0256999999999987
"107"	106	8.5691	10	"r3"	0.0277000000000012
"108"	107	8.593	10	"r3"	0.0238999999999994
"109"	108	8.6143	10	"r3"	0.0213000000000001
"110"	109	8.6327	10	"r3"	0.0183999999999997
"111"	110	8.6564	10	"r3"	0.0236999999999998
"112"	111	8.6762	10	"r3"	0.0198
"113"	112	8.6915	10	"r3"	0.0152999999999999
"114"	113	8.7031	10	"r3"	0.0115999999999996
"115"	114	8.7211	10	"r3"	0.0180000000000007
"116"	115	8.7418	10	"r3"	0.0206999999999997
"117"	116	8.7544	10	"r3"	0.0126000000000008
"118"	117	8.7699	10	"r3"	0.0154999999999994
"119"	118	8.7819	10	"r3"	0.0120000000000005
"120"	119	8.7959	10	"r3"	0.0139999999999993
"121"	120	8.807	10	"r3"	0.0111000000000008
"122"	121	8.8183	10	"r3"	0.0113000000000003
"123"	122	8.8286	10	"r3"	0.0102999999999991
"124"	123	8.8384	10	"r3"	0.00980000000000025
"125"	124	8.8491	10	"r3"	0.0106999999999999
"126"	125	8.8587	10	"r3"	0.00960000000000072
"127"	126	8.8674	10	"r3"	0.00869999999999926
"128"	127	8.8775	10	"r3"	0.0100999999999996
"129"	128	8.8857	10	"r3"	0.00820000000000043
"130"	129	8.8936	9	"r3"	0.00789999999999935
"131"	130	8.8993	9	"r3"	0.00570000000000093
"132"	131	8.9045	9	"r3"	0.00520000000000032
"133"	132	8.9091	9	"r3"	0.00459999999999994
"134"	133	8.9143	9	"r3"	0.00520000000000032
