Time	Displacement	BinCount	Variance	Velocity	Label
121	11.725	23	3.52411	0.039	471194582318786
122	11.841	22	3.57767	0.116	471194582318786
123	11.978	22	3.5796	0.137	471194582318786
124	12.07	23	3.59849	0.092	471194582318786
125	12.118	23	3.60445	0.048	471194582318786
126	12.211	23	3.58643	0.093	471194582318786
127	12.243	23	3.63716	0.032	471194582318786
128	12.311	24	3.6067	0.068	471194582318786
129	12.429	24	3.63895	0.118	471194582318786
130	12.586	24	3.67364	0.157	471194582318786
131	12.667	24	3.68715	0.081	471194582318786
132	12.814	24	3.70546	0.147	471194582318786
133	12.922	24	3.69323	0.108	471194582318786
134	12.992	24	3.69539	0.07	471194582318786
135	13.157	24	3.72778	0.165	471194582318786
136	13.257	24	3.75606	0.1	471194582318786
137	13.353	24	3.80991	0.096	471194582318786
138	13.429	26	3.82857	0.076	471194582318786
139	13.579	26	3.82541	0.15	471194582318786
140	13.647	26	3.8414	0.068	471194582318786
141	13.717	26	3.85239	0.07	471194582318786
142	13.813	26	3.84448	0.096	471194582318786
143	13.91	26	3.84173	0.097	471194582318786
144	14.019	27	3.88274	0.109	471194582318786
145	14.067	27	3.85351	0.048	471194582318786
146	14.157	27	3.85452	0.09	471194582318786
147	14.264	27	3.87031	0.107	471194582318786
148	14.325	27	3.90005	0.061	471194582318786
149	14.434	28	3.89688	0.109	471194582318786
150	14.551	26	3.90658	0.117	471194582318786
151	14.65	26	3.94316	0.099	471194582318786
152	14.744	27	3.96251	0.094	471194582318786
153	14.856	27	4.03153	0.112	471194582318786
154	14.948	27	4.01613	0.092	471194582318786
155	15.05	27	4.0595	0.102	471194582318786
156	15.14	28	4.04888	0.09	471194582318786
157	15.229	27	4.06086	0.089	471194582318786
158	15.393	27	4.06024	0.164	471194582318786
159	15.508	28	4.07062	0.115	471194582318786
160	15.563	28	4.10171	0.055	471194582318786
161	15.64	29	4.0926	0.077	471194582318786
162	15.73	29	4.07064	0.09	471194582318786
163	15.798	27	4.09588	0.068	471194582318786
164	15.946	27	4.08474	0.148	471194582318786
165	16.019	27	4.08811	0.073	471194582318786
166	16.089	27	4.11668	0.07	471194582318786
167	16.167	27	4.1322	0.078	471194582318786
168	16.261	27	4.18663	0.094	471194582318786
169	16.327	28	4.19679	0.066	471194582318786
170	16.436	28	4.18759	0.109	471194582318786
171	16.56	27	4.15059	0.124	471194582318786
172	16.657	28	4.16574	0.097	471194582318786
173	16.826	28	4.17573	0.169	471194582318786
174	16.995	29	4.23308	0.169	471194582318786
175	17.166	29	4.24693	0.171	471194582318786
176	17.302	29	4.21103	0.136	471194582318786
177	17.392	29	4.20979	0.09	471194582318786
178	17.427	29	4.19555	0.035	471194582318786
179	17.553	29	4.22388	0.126	471194582318786
180	17.678	29	4.21525	0.125	471194582318786
181	17.814	29	4.27427	0.136	471194582318786
182	17.945	29	4.26837	0.131	471194582318786
183	18.037	30	4.28785	0.092	471194582318786
184	18.161	29	4.30338	0.124	471194582318786
185	18.194	30	4.30655	0.033	471194582318786
186	18.241	30	4.27199	0.047	471194582318786
187	18.341	30	4.28599	0.1	471194582318786
188	18.481	30	4.26798	0.14	471194582318786
189	18.549	29	4.28376	0.068	471194582318786
190	18.678	30	4.27789	0.129	471194582318786
191	18.779	31	4.31012	0.101	471194582318786
192	18.866	31	4.3488	0.087	471194582318786
193	18.954	30	4.33923	0.088	471194582318786
194	19.098	29	4.35056	0.144	471194582318786
195	19.205	30	4.33001	0.107	471194582318786
196	19.318	30	4.33669	0.113	471194582318786
197	19.414	30	4.36962	0.096	471194582318786
198	19.524	30	4.41672	0.11	471194582318786
199	19.623	30	4.43124	0.099	471194582318786
200	19.713	30	4.49585	0.09	471194582318786
201	19.779	29	4.51256	0.066	471194582318786
202	19.875	30	4.5026	0.096	471194582318786
203	19.948	30	4.49047	0.073	471194582318786
204	20.09	31	4.54927	0.142	471194582318786
205	20.18	30	4.50906	0.09	471194582318786
206	20.358	30	4.50653	0.178	471194582318786
207	20.412	31	4.48824	0.054	471194582318786
208	20.582	30	4.56785	0.17	471194582318786
209	20.706	30	4.5488	0.124	471194582318786
