0,0
0.01,0.1
0.02,0.2
0.03,0.3
0.04,0.4
0.05,0.5
0.06,0.6
0.07,0.7
0.08,0.8
0.09,0.9
0.1,1
0.11,1.1
0.12,1.2
0.13,1.3
0.14,1.4
0.15,1.5
0.16,1.6
0.17,1.7
0.18,1.8
0.19,1.9
0.2,2
0.21,2.1
0.22,2.2
0.23,2.3
0.24,2.4
0.25,2.5
0.26,2.6
0.27,2.7
0.28,2.8
0.29,2.9
0.3,3
0.31,3.1
0.32,3.2
0.33,3.3
0.34,3.4
0.35,3.5
0.36,3.6
0.37,3.7
0.38,3.8
0.39,3.9
0.4,4
0.41,4.1
0.42,4.2
0.43,4.3
0.44,4.4
0.45,4.5
0.46,4.6
0.47,4.7
0.48,4.8
0.49,4.9
0.5,5
0.51,5.1
0.52,5.2
0.53,5.3
0.54,5.4
0.55,5.5
0.56,5.6
0.57,5.7
0.58,5.8
0.59,5.9
0.6,6
0.61,6.1
0.62,6.2
0.63,6.3
0.64,6.4
0.65,6.5
0.66,6.6
0.67,6.7
0.68,6.8
0.69,6.9
0.7,7
0.71,7.1
0.72,7.2
0.73,7.3
0.74,7.4
0.75,7.5
0.76,7.6
0.77,7.7
0.78,7.8
0.79,7.9
0.8,8
0.81,8.1
0.82,8.2
0.83,8.3
0.84,8.4
0.85,8.5
0.86,8.6
0.87,8.7
0.88,8.8
0.89,8.9
0.9,9
0.91,9.1
0.92,9.2
0.93,9.3
0.94,9.4
0.95,9.5
0.96,9.6
0.97,9.7
0.98,9.8
0.99,9.9
1,10
1.01,10.1
1.02,10.2
1.03,10.3
1.04,10.4
1.05,10.5
1.06,10.6
1.07,10.7
1.08,10.8
1.09,10.9
1.1,11
1.11,11.1
1.12,11.2
1.13,11.3
1.14,11.4
1.15,11.5
1.16,11.6
1.17,11.7
1.18,11.8
1.19,11.9
1.2,12
1.21,12.1
1.22,12.2
1.23,12.3
1.24,12.4
1.25,12.5
1.26,12.6
1.27,12.7
1.28,12.8
1.29,12.9
1.3,13
1.31,13.1
1.32,13.2
1.33,13.3
1.34,13.4
1.35,13.5
1.36,13.6
1.37,13.7
1.38,13.8
1.39,13.9
1.4,14
1.41,14.1
1.42,14.2
1.43,14.3
1.44,14.4
1.45,14.5
1.46,14.6
1.47,14.7
1.48,14.8
1.49,14.9
1.5,15
1.51,15.1
1.52,15.2
1.53,15.3
1.54,15.4
1.55,15.5
1.56,15.6
1.56999,15.7
1.57999,15.8
1.58999,15.9
1.59999,16
1.60999,16.1
1.61999,16.2
1.62999,16.3
1.63999,16.4
1.64999,16.5
1.65999,16.6
1.66999,16.7
1.67999,16.8
1.68999,16.9
1.69999,17
1.70999,17.1
1.71999,17.2
1.72999,17.3
1.73999,17.4
1.74999,17.5
1.75999,17.6
1.76999,17.7
1.77998,17.8
1.78998,17.9
1.79998,18
1.80998,18.1
1.81998,18.2
1.82998,18.3
1.83998,18.4
1.84998,18.5
1.85998,18.6
1.86998,18.7
1.87998,18.8
1.88997,18.9
1.89997,19
1.90997,19.1
1.91997,19.2
1.92997,19.3
1.93997,19.4
1.94997,19.5
1.95996,19.6
1.96996,19.7
1.97996,19.8
1.98996,19.9
1.99996,20
2.00996,20.1
2.01995,20.2
2.02995,20.3
2.03995,20.4
2.04995,20.5
2.05995,20.6
2.06994,20.7
2.07994,20.8
2.08994,20.9
2.09994,21
2.10993,21.1
2.11993,21.2
2.12993,21.3
2.13992,21.4
2.14992,21.5
2.15992,21.6
2.16991,21.7
2.17991,21.8
2.18991,21.9
2.1999,22
2.2099,22.1
2.2199,22.2
2.22989,22.3
2.23989,22.4
2.24988,22.5
2.25988,22.6
2.26987,22.7
2.27987,22.8
2.28987,22.9
2.29986,23
2.30986,23.1
2.31985,23.2
2.32984,23.3
2.33984,23.4
2.34983,23.5
2.35983,23.6
2.36982,23.7
2.37981,23.8
2.38981,23.9
2.3998,24
2.40979,24.1
2.41979,24.2
2.42978,24.3
2.43977,24.4
2.44976,24.5
2.45976,24.6
2.46975,24.7
2.47974,24.8
2.48973,24.9
2.49972,25
2.50971,25.1
2.5197,25.2
2.52969,25.3
2.53968,25.4
2.54967,25.5
2.55966,25.6
2.56965,25.7
2.57964,25.8
2.58963,25.9
2.59962,26
2.60961,26.1
2.61959,26.2
2.62958,26.3
2.63957,26.4
2.64955,26.5
2.65954,26.6
2.66953,26.7
2.67951,26.8
2.6895,26.9
2.69948,27
2.70947,27.1
2.71945,27.2
2.72943,27.3
2.73942,27.4
2.7494,27.5
2.75938,27.6
2.76936,27.7
2.77935,27.8
2.78933,27.9
2.79931,28
2.80929,28.1
2.81927,28.2
2.82925,28.3
2.83922,28.4
2.8492,28.5
2.85918,28.6
2.86916,28.7
2.87913,28.8
2.88911,28.9
2.89909,29
2.90906,29.1
2.91903,29.2
2.92901,29.3
2.93898,29.4
2.94895,29.5
2.95893,29.6
2.9689,29.7
2.97887,29.8
2.98884,29.9
2.99881,30
3.00878,30.1
3.01874,30.2
3.02871,30.3
3.03868,30.4
3.04864,30.5
3.05861,30.6
3.06857,30.7
3.07854,30.8
3.0885,30.9
3.09846,31
3.10843,31.1
3.11839,31.2
3.12835,31.3
3.1383,31.4
3.14826,31.5
3.15822,31.6
3.16818,31.7
3.17813,31.8
3.18809,31.9
3.19804,32
3.20799,32.1
3.21795,32.2
3.2279,32.3
3.23785,32.4
3.2478,32.5
3.25774,32.6
3.26769,32.7
3.27764,32.8
3.28758,32.9
3.29753,33
3.30747,33.1
3.31741,33.2
3.32735,33.3
3.33729,33.4
3.34723,33.5
