77	0	3.6	15.2	32.6	65.2	109.2	111.6	118.2	124	420.4	
78	0	3	13.6	29.8	69.4	119.4	107.2	113	117.8	426.8	
79	0	3.8	14	25.8	60.4	113	116.8	120.2	121.6	424.4	
80	0	1.8	11	30.2	55.6	108.8	109.8	110.6	131.4	440.8	
81	0	2.4	11.6	28.2	54.4	102.4	115.8	115.2	135.6	434.4	
82	0	2.6	10.6	29	48.4	108.4	113.2	104.4	135	448.4	
83	0	1.8	11.2	27	53.4	88.8	106.4	109	137.2	465.2	
84	0	1.4	6.4	25	49.6	93.4	98.4	116	148	461.8	
85	0	1.2	7.8	26.4	49.8	95.4	94.8	114.8	141.2	468.6	
86	0	1	7.6	20.6	44.2	91.2	95	106	138.8	495.6	
87	0	1.4	7.4	19	40.6	81.2	90.2	100.2	142.8	517.2	
88	0	0.4	6.6	18.8	36.8	76.2	88	107	134	532.2	
89	0	0.2	8.6	14.6	40.4	70	81	112.4	130.8	542	
90	0	0	7.6	11.8	35.2	65.8	90.6	107.2	127.4	554.4	
91	0	0	8.2	12	34	60.4	80.2	105.6	134.8	564.8	
92	0	0	9.6	11.4	36	52.6	77.4	93.4	133.8	585.8	
93	0	0	9.2	11.8	35.2	51.4	75.8	84.6	137.8	594.2	
94	0	0	9.8	13	32.6	52.6	74.2	74.2	122	621.6	
95	0	0	5.4	13.2	26.8	54.8	77	68.6	112.4	641.8	
96	0	0	4.4	11.6	30.4	46.8	80.4	75.6	108.2	642.6	
97	0	0	2.8	10.8	30.2	45.2	75	75	115.6	645.4	
98	0	0	2.8	10.2	27.6	47.2	75.6	69.4	116	651.2	
99	0	0	2.4	11	24.8	44	74.2	68	109.6	666	
100	0	0	0.6	10.6	22.4	42	69.2	69	98.6	687.6	
101	0	0	0.2	10.6	19.2	37.4	63.6	69	98.8	701.2	
102	0	0	0	10.6	12.4	30.8	63.4	73	103.6	706.2	
103	0	0	0	9.4	14	27.2	65.8	73	99.2	711.4	
104	0	0	0	10.6	17.8	25.6	59.4	71.8	93.8	721	
105	0	0	0	13.4	20.6	28.8	49.4	71.6	84.2	732	
106	0	0	0	12.2	18.4	27.4	44.8	78.4	80.6	738.2	
107	0	0	0	12.8	21.4	25.2	41.6	71.8	91.4	735.8	
108	0	0	0	12.6	19	21.6	44.4	67.6	83.2	751.6	
109	0	0	0	10.2	24.4	21.4	38.6	62	78	765.4	
110	0	0	0	8.2	20.2	24.4	34.4	60.6	70.4	781.8	
111	0	0	0	6.2	21.2	22.2	39.2	56.6	72.2	782.4	
112	0	0	0	5.4	20.2	27.2	35.8	51.2	73.2	787	
113	0	0	0	6.2	20.2	22.8	37	54.2	63.4	796.2	
114	0	0	0	4.2	17.6	19.8	31	51.4	65.8	810.2	
115	0	0	0	3.6	15.2	19.2	31.4	48.8	63.4	818.4	
116	0	0	0	5.2	11.8	17.2	27.4	47.2	66	825.2	
117	0	0	0	4.2	12.6	16.8	24.6	44.4	60.8	836.6	
118	0	0	0	3.4	12.4	15.2	22.8	38.6	62.6	845	
119	0	0	0	3.8	8.4	16	24.2	36.4	69.6	841.6	
120	0	0	0	3.8	10.2	14.8	23.8	30	59.4	858	
121	0	0	0	3.8	14.6	11.2	21.8	24.2	53.8	870.6	
122	0	0	0	2.2	11.2	14.2	23	25.4	51.8	872.2	
123	0	0	0	2.6	9.4	14	30.4	27.8	54	861.8	
124	0	0	0	3.2	10.8	12.2	24.6	24.4	51.2	873.6	
125	0	0	0	7	7.6	7.6	25.4	25.6	51.6	875.2	
126	0	0	0	8.2	7.2	6.6	22.2	23.4	52	880.4	
127	0	0	0	7.4	9	6.2	24.4	23.8	53	876.2	
128	0	0	0	7	8	5.6	18.6	22.2	51.4	887.2	
129	0	0	0	6	7	6.2	18.6	21	43.6	897.6	
130	0	0	0	4.2	6.2	9	14	18.8	34.2	913.6	
131	0	0	0	3.4	6.4	10.6	13.6	20.6	29	916.4	
132	0	0	0	5	5	8.8	12.2	15.8	28.2	925	
133	0	0	0	4.8	6.2	5.8	9	14.4	31.4	928.4	
134	0	0	0	8	4	5.4	8.4	10.8	25	938.4	
135	0	0	0	9.2	5.4	5.2	8	11.4	21.8	939	
136	0	0	0	10.4	5	3.6	8.2	12	26	934.8	
137	0	0	0	10.6	6.6	3.8	6.8	15	28.4	928.8	
138	0	0	0	8.6	7.8	3.6	7.8	14.2	22	936	
139	0	0	0	7.2	4.6	3.2	6.8	14.6	20.2	943.4	
140	0	0	0	5.6	6.2	4.4	7.6	14.8	15.8	945.6	
141	0	0	0	6.8	4.2	3.4	8.4	10.4	13.6	953.2	
142	0	0	0	6.6	6.2	3.4	7.8	8.6	12	955.4	
143	0	0	0	4.4	8.6	2.2	6.8	5.8	13	959.2	
144	0	0	0	3.6	8.2	3.4	8.2	5	15	956.6	
145	0	0	0	4.4	6.4	4.2	6.8	4.6	13.4	960.2	
146	0	0	0	6	4.8	2.6	8.2	3.8	12.2	962.4	
147	0	0	0	7.2	3.4	3.8	7.4	5.8	10.2	962.2	
148	0	0	0	7.4	5.2	6	7.8	9.4	7.2	957	
149	0	0	0	6.8	7.4	7	6.8	8.8	8.6	954.6	
150	0	0	0	6.2	7.6	5.8	7.2	12.6	9.4	951.2	
151	0	0	0	3.6	7.8	5.8	5.4	10.6	8.8	958	
152	0	0	0	3	7	6.8	4.6	12.2	10.4	956	
153	0	0	0	1.8	7	7.2	6.4	10	12.2	955.4	
154	0	0	0	1.4	10.6	8.8	5.4	8.6	8.8	956.4	
