125	289.4	371.92	214.92	92.74	31.02	
126	284.96	372.82	217.02	93.48	31.72	
127	278.3	377.64	215.86	96.46	31.74	
128	272.36	381.36	216.28	96.44	33.56	
129	274.48	377.48	217.22	96.8	34.02	
130	270.44	375.14	221.36	99.06	34	
131	262.8	376.6	229.02	96.8	34.78	
132	257.54	376.84	230.54	98.36	36.72	
133	252.84	375.6	233.44	100.76	37.36	
134	254.24	372.32	231.48	104.38	37.58	
135	250.8	368.92	235.16	105.82	39.3	
136	247.3	366.92	242.12	104.42	39.24	
137	245.6	363.7	246.58	103.18	40.94	
138	236.68	367.88	246.9	106.84	41.7	
139	232.4	367.92	247.48	109.02	43.18	
140	232.2	366.54	250.3	108.5	42.46	
141	231.66	362.94	252.02	110.02	43.36	
142	229.06	363.22	254.02	110.08	43.62	
143	227.76	361.74	256.16	110.68	43.66	
144	224.92	364.84	253.56	111.74	44.94	
145	217.1	366.8	260.82	109.9	45.38	
146	212.32	365.58	263.04	110.84	48.22	
147	206.64	359.9	268.54	114.4	50.52	
148	203.08	355.82	271.02	117.68	52.4	
149	201.54	354.92	270.06	119.74	53.74	
150	197.3	354.98	270.98	121.34	55.4	
151	197.06	353.94	267.36	122.82	58.82	
152	193.88	351.76	267.82	126.04	60.5	
153	188.72	349.72	267.02	131.3	63.24	
154	182.78	345.26	274.6	133.14	64.22	
155	182.72	336.9	278.34	136.92	65.12	
156	177.82	338.42	281	137.6	65.16	
157	178.52	337.1	281.68	135.9	66.8	
158	174.7	335.2	286.42	135.86	67.82	
159	175.96	331.4	284.34	138.76	69.54	
160	175.42	329.36	283.26	142.82	69.14	
161	175.68	328.7	282.54	144.9	68.18	
162	172.38	327.16	289.5	140.64	70.32	
163	170.62	320.94	291.18	143.34	73.92	
164	172.1	321.9	282.44	145.7	77.86	
165	166.7	322.4	285.78	148.26	76.86	
166	166.26	323.18	283.58	146.78	80.2	
167	163.96	319.52	284.88	149.64	82	
168	162.58	318.92	278.8	154.76	84.94	
169	158.94	318.84	277.6	156.7	87.92	
170	157.52	312.82	278.98	159.44	91.24	
171	157.68	312.24	274.7	161.88	93.5	
172	151.58	313.92	278.36	160.78	95.36	
173	154	315.18	276.04	156.88	97.9	
174	150.96	317.12	273.88	158.58	99.46	
175	147.92	314.8	271.56	161.82	103.9	
176	147.44	308.9	272.04	167.52	104.1	
177	143.82	310.6	270.44	170.48	104.66	
178	142.34	306.96	270.56	169.1	111.04	
179	139.68	307.72	271.02	168.88	112.7	
180	137.98	300.16	276.78	168.2	116.88	
181	137.32	297.92	275.08	172.48	117.2	
182	136.54	299.16	274.52	171.84	117.94	
183	136.74	291.72	274.44	175.16	121.94	
