"V1"	"V2"	"V3"	"V4"
"1"	0	0	1	"r8"
"2"	1	0.1005	4	"r8"
"3"	2	0.1983	5	"r8"
"4"	3	0.2968	6	"r8"
"5"	4	0.3986	6	"r8"
"6"	5	0.501	6	"r8"
"7"	6	0.6004	7	"r8"
"8"	7	0.6983	7	"r8"
"9"	8	0.8033	8	"r8"
"10"	9	0.9015	8	"r8"
"11"	10	1.005	9	"r8"
"12"	11	1.1045	10	"r8"
"13"	12	1.2034	10	"r8"
"14"	13	1.3064	10	"r8"
"15"	14	1.4107	10	"r8"
"16"	15	1.5106	10	"r8"
"17"	16	1.6179	10	"r8"
"18"	17	1.7145	10	"r8"
"19"	18	1.8138	10	"r8"
"20"	19	1.916	10	"r8"
"21"	20	2.017	10	"r8"
"22"	21	2.1161	10	"r8"
"23"	22	2.2196	10	"r8"
"24"	23	2.319	10	"r8"
"25"	24	2.4165	10	"r8"
"26"	25	2.5143	10	"r8"
"27"	26	2.608	10	"r8"
"28"	27	2.7014	10	"r8"
"29"	28	2.7919	10	"r8"
"30"	29	2.8829	10	"r8"
"31"	30	2.9776	10	"r8"
"32"	31	3.0749	10	"r8"
"33"	32	3.167	10	"r8"
"34"	33	3.261	10	"r8"
"35"	34	3.3525	10	"r8"
"36"	35	3.438	10	"r8"
"37"	36	3.5167	10	"r8"
"38"	37	3.5924	10	"r8"
"39"	38	3.6757	10	"r8"
"40"	39	3.7535	10	"r8"
"41"	40	3.835	10	"r8"
"42"	41	3.9053	10	"r8"
"43"	42	3.9793	10	"r8"
"44"	43	4.0494	10	"r8"
"45"	44	4.1159	10	"r8"
"46"	45	4.1945	10	"r8"
"47"	46	4.272	10	"r8"
"48"	47	4.3524	10	"r8"
"49"	48	4.4234	10	"r8"
"50"	49	4.4872	10	"r8"
"51"	50	4.5578	10	"r8"
"52"	51	4.6179	10	"r8"
"53"	52	4.6716	10	"r8"
"54"	53	4.728	10	"r8"
"55"	54	4.7861	10	"r8"
"56"	55	4.8448	10	"r8"
"57"	56	4.8969	10	"r8"
"58"	57	4.9513	10	"r8"
"59"	58	5.0062	10	"r8"
"60"	59	5.0533	10	"r8"
"61"	60	5.1063	10	"r8"
"62"	61	5.16	10	"r8"
"63"	62	5.2115	10	"r8"
"64"	63	5.2607	10	"r8"
"65"	64	5.3136	10	"r8"
"66"	65	5.3541	10	"r8"
"67"	66	5.4073	10	"r8"
"68"	67	5.4557	10	"r8"
"69"	68	5.4991	10	"r8"
"70"	69	5.5469	10	"r8"
"71"	70	5.5933	10	"r8"
"72"	71	5.6385	10	"r8"
"73"	72	5.6759	10	"r8"
"74"	73	5.7192	10	"r8"
"75"	74	5.7566	10	"r8"
"76"	75	5.8044	10	"r8"
"77"	76	5.8482	10	"r8"
"78"	77	5.8863	10	"r8"
"79"	78	5.9344	10	"r8"
"80"	79	5.9739	10	"r8"
"81"	80	6.0176	10	"r8"
"82"	81	6.0699	10	"r8"
"83"	82	6.1051	10	"r8"
"84"	83	6.1424	10	"r8"
"85"	84	6.1799	10	"r8"
"86"	85	6.2169	10	"r8"
"87"	86	6.244	10	"r8"
"88"	87	6.2867	10	"r8"
"89"	88	6.3259	10	"r8"
"90"	89	6.3695	10	"r8"
"91"	90	6.4134	10	"r8"
"92"	91	6.4514	10	"r8"
"93"	92	6.4911	10	"r8"
"94"	93	6.5367	10	"r8"
"95"	94	6.5713	10	"r8"
"96"	95	6.6022	10	"r8"
"97"	96	6.6402	10	"r8"
"98"	97	6.6843	10	"r8"
"99"	98	6.7255	10	"r8"
"100"	99	6.7719	10	"r8"
"101"	100	6.8119	10	"r8"
"102"	101	6.8469	10	"r8"
"103"	102	6.888	10	"r8"
"104"	103	6.9313	10	"r8"
"105"	104	6.9722	10	"r8"
"106"	105	7.0166	10	"r8"
"107"	106	7.0634	10	"r8"
"108"	107	7.097	10	"r8"
"109"	108	7.1352	10	"r8"
"110"	109	7.1764	10	"r8"
"111"	110	7.2103	10	"r8"
"112"	111	7.2566	10	"r8"
"113"	112	7.2966	10	"r8"
"114"	113	7.3297	10	"r8"
"115"	114	7.3725	10	"r8"
"116"	115	7.4095	10	"r8"
"117"	116	7.4409	10	"r8"
"118"	117	7.4801	10	"r8"
"119"	118	7.5237	10	"r8"
"120"	119	7.5697	10	"r8"
"121"	120	7.6046	10	"r8"
"122"	121	7.6504	10	"r8"
"123"	122	7.6872	10	"r8"
"124"	123	7.7352	10	"r8"
"125"	124	7.7759	10	"r8"
"126"	125	7.8169	10	"r8"
"127"	126	7.8595	10	"r8"
"128"	127	7.898	10	"r8"
"129"	128	7.9363	10	"r8"
"130"	129	7.9755	10	"r8"
"131"	130	8.0182	10	"r8"
"132"	131	8.0488	10	"r8"
"133"	132	8.0913	10	"r8"
"134"	133	8.13	10	"r8"
"135"	134	8.1644	10	"r8"
"136"	135	8.1935	10	"r8"
"137"	136	8.2272	10	"r8"
"138"	137	8.255	9	"r8"
"139"	138	8.2896	9	"r8"
"140"	139	8.3175	8	"r8"
"141"	140	8.3475	8	"r8"
"142"	141	8.3777	8	"r8"
"143"	142	8.4085	8	"r8"
"144"	143	8.4416	8	"r8"
"145"	144	8.4693	8	"r8"
"146"	145	8.4965	8	"r8"
"147"	146	8.5267	8	"r8"
"148"	147	8.5516	8	"r8"
"149"	148	8.575	8	"r8"
"150"	149	8.5996	8	"r8"
"151"	150	8.6249	8	"r8"
"152"	151	8.6451	8	"r8"
"153"	152	8.6692	8	"r8"
"154"	153	8.6905	8	"r8"
"155"	154	8.7098	8	"r8"
"156"	155	8.7254	8	"r8"
"157"	156	8.7411	8	"r8"
"158"	157	8.7543	8	"r8"
"159"	158	8.7719	8	"r8"
"160"	159	8.7837	7	"r8"
"161"	160	8.8002	7	"r8"
"162"	161	8.8132	7	"r8"
"163"	162	8.8244	7	"r8"
"164"	163	8.8353	7	"r8"
"165"	164	8.8443	7	"r8"
"166"	165	8.8554	7	"r8"
"167"	166	8.8634	7	"r8"
"168"	167	8.871	7	"r8"
"169"	168	8.8796	7	"r8"
"170"	169	8.8863	7	"r8"
"171"	170	8.8921	7	"r8"
"172"	171	8.8992	7	"r8"
"173"	172	8.9069	7	"r8"
"174"	173	8.9106	7	"r8"
"175"	174	8.9166	7	"r8"
"176"	175	8.9217	7	"r8"
"177"	176	8.9256	7	"r8"
"178"	177	8.9307	7	"r8"
"179"	178	8.9367	7	"r8"
"180"	179	8.9411	7	"r8"
"181"	180	8.9453	7	"r8"
"182"	181	8.9485	7	"r8"
"183"	182	8.951	7	"r8"
"184"	183	8.9532	7	"r8"
"185"	184	8.956	7	"r8"
"186"	185	8.9583	7	"r8"
"187"	186	8.9605	6	"r8"
