0	0	1	flat
1	0.0983	4	flat
2	0.1997	6	flat
3	0.3027	6	flat
4	0.4029	6	flat
5	0.5037	8	flat
6	0.6039	8	flat
7	0.7017	9	flat
8	0.8031	10	flat
9	0.9032	10	flat
10	1.0064	10	flat
11	1.1002	10	flat
12	1.1986	10	flat
13	1.2966	10	flat
14	1.3986	10	flat
15	1.4922	10	flat
16	1.5908	10	flat
17	1.6882	10	flat
18	1.7889	10	flat
19	1.8909	10	flat
20	1.9911	10	flat
21	2.0973	10	flat
22	2.1978	10	flat
23	2.2949	10	flat
24	2.3986	10	flat
25	2.5013	10	flat
26	2.6075	10	flat
27	2.7076	10	flat
28	2.8078	10	flat
29	2.9071	10	flat
30	3.0075	10	flat
31	3.1075	10	flat
32	3.2075	10	flat
33	3.3064	10	flat
34	3.4067	10	flat
35	3.5102	10	flat
36	3.6118	10	flat
37	3.7047	10	flat
38	3.7959	10	flat
39	3.8832	10	flat
40	3.9777	10	flat
41	4.0761	10	flat
42	4.1752	10	flat
43	4.2699	10	flat
44	4.3671	10	flat
45	4.4652	10	flat
46	4.5531	10	flat
47	4.6484	10	flat
48	4.7361	10	flat
49	4.837	10	flat
50	4.9348	10	flat
51	5.0342	10	flat
52	5.1257	10	flat
53	5.2186	10	flat
54	5.3012	10	flat
55	5.4019	10	flat
56	5.4825	10	flat
57	5.5603	10	flat
58	5.6472	10	flat
59	5.7205	10	flat
60	5.8015	10	flat
61	5.8855	10	flat
62	5.9775	10	flat
63	6.0605	10	flat
64	6.1324	10	flat
65	6.222	10	flat
66	6.3125	10	flat
67	6.3881	10	flat
68	6.4641	10	flat
69	6.5395	10	flat
70	6.6138	10	flat
71	6.6959	10	flat
72	6.7691	10	flat
73	6.8409	10	flat
74	6.9022	10	flat
75	6.9658	10	flat
76	7.0165	10	flat
77	7.0853	10	flat
78	7.1543	10	flat
79	7.2221	10	flat
80	7.2847	10	flat
81	7.3425	10	flat
82	7.3953	10	flat
83	7.451	10	flat
84	7.5104	10	flat
85	7.5648	10	flat
86	7.6122	10	flat
87	7.6603	10	flat
88	7.7098	10	flat
89	7.7482	10	flat
90	7.7929	10	flat
91	7.845	10	flat
92	7.8913	10	flat
93	7.9356	10	flat
94	7.9678	10	flat
95	8.0116	10	flat
96	8.0543	10	flat
97	8.0936	10	flat
98	8.1317	10	flat
99	8.1637	10	flat
100	8.199	10	flat
101	8.2387	10	flat
102	8.2639	10	flat
103	8.2924	10	flat
104	8.3234	10	flat
105	8.3508	10	flat
106	8.383	10	flat
107	8.4123	10	flat
108	8.4389	10	flat
109	8.4628	10	flat
110	8.4852	10	flat
111	8.5101	10	flat
112	8.533	10	flat
113	8.5537	9	flat
114	8.5769	9	flat
115	8.5999	9	flat
116	8.6157	9	flat
117	8.6311	9	flat
118	8.647	9	flat
119	8.6585	9	flat
120	8.6744	9	flat
121	8.6916	9	flat
122	8.7065	9	flat
123	8.7201	9	flat
124	8.7338	8	flat
125	8.7461	8	flat
126	8.7556	8	flat
127	8.7642	8	flat
128	8.7761	8	flat
129	8.7865	8	flat
130	8.7963	8	flat
131	8.8056	8	flat
132	8.8149	8	flat
133	8.8222	8	flat
134	8.8318	8	flat
135	8.8424	8	flat
136	8.8518	8	flat
137	8.86	8	flat
138	8.8648	8	flat
139	8.869	8	flat
140	8.8757	8	flat
141	8.8816	8	flat
142	8.891	8	flat
143	8.8961	8	flat
144	8.8992	7	flat
145	8.9054	7	flat
146	8.9095	7	flat
147	8.9118	7	flat
148	8.9161	7	flat
149	8.919	7	flat
150	8.9233	7	flat
151	8.9274	7	flat
152	8.9318	7	flat
153	8.9356	7	flat
154	8.9387	7	flat
155	8.9424	7	flat
156	8.9464	7	flat
157	8.9503	7	flat
158	8.9537	7	flat
159	8.9562	7	flat
160	8.9587	7	flat
161	8.9622	7	flat
162	8.964	7	flat
163	8.9655	7	flat
164	8.9685	7	flat
165	8.9706	7	flat
166	8.9731	7	flat
167	8.9752	7	flat
168	8.9763	7	flat
169	8.9779	7	flat
170	8.9792	7	flat
171	8.9794	7	flat
172	8.9808	7	flat
173	8.9818	7	flat
174	4.3449	7	flat
175	0.4283	7	flat
176	6.4814	7	flat
177	7.9058	7	flat
178	7.9065	7	flat
179	7.907	7	flat
180	6.1216	7	flat
181	7.5482	7	flat
182	7.5493	7	flat
183	7.5495	7	flat
184	7.55	7	flat
185	5.0451	7	flat
186	6.8316	7	flat
187	2.8999	7	flat
188	6.4724	7	flat
189	5.0437	7	flat
190	1.1005	6	flat
191	5.3935	6	flat
192	5.3943	6	flat
193	5.3944	6	flat
194	5.395	6	flat
195	5.0381	6	flat
196	0.3748	6	flat
197	4.6765	6	flat
198	4.6761	6	flat
199	4.6765	5	flat
200	1.8095	5	flat
201	3.9571	5	flat
202	3.9573	5	flat
203	3.9572	5	flat
204	2.1674	5	flat
205	1.4474	5	flat
206	3.2378	5	flat
207	3.238	5	flat
208	1.4462	5	flat
209	2.8777	5	flat
210	2.8779	5	flat
211	2.8776	5	flat
212	1.8044	5	flat
213	2.5177	5	flat
214	2.5177	5	flat
215	0.3676	5	flat
216	2.1578	5	flat
217	2.1579	5	flat
218	2.1576	5	flat
219	2.1578	5	flat
220	2.158	5	flat
221	2.158	5	flat
222	2.1583	5	flat
223	2.1584	5	flat
224	2.1585	5	flat
225	2.1586	5	flat
226	2.1585	5	flat
227	0.3645	5	flat
228	1.7988	5	flat
229	1.7988	5	flat
230	0.7236	5	flat
231	1.4388	5	flat
232	1.4388	5	flat
233	0.3629	5	flat
234	0.7192	4	flat
