"V1"	"V2"	"V3"	"V4"
"1"	0	0	1	"r4"
"2"	1	0.0987	4	"r4"
"3"	2	0.1969	5	"r4"
"4"	3	0.2968	6	"r4"
"5"	4	0.3938	7	"r4"
"6"	5	0.4938	7	"r4"
"7"	6	0.5937	7	"r4"
"8"	7	0.6916	7	"r4"
"9"	8	0.7855	8	"r4"
"10"	9	0.8784	8	"r4"
"11"	10	0.9711	9	"r4"
"12"	11	1.0549	9	"r4"
"13"	12	1.1328	9	"r4"
"14"	13	1.2108	10	"r4"
"15"	14	1.292	9	"r4"
"16"	15	1.3753	10	"r4"
"17"	16	1.4486	10	"r4"
"18"	17	1.5203	10	"r4"
"19"	18	1.589	10	"r4"
"20"	19	1.6501	10	"r4"
"21"	20	1.7183	10	"r4"
"22"	21	1.7746	10	"r4"
"23"	22	1.8353	10	"r4"
"24"	23	1.8844	10	"r4"
"25"	24	1.9406	10	"r4"
"26"	25	1.9964	10	"r4"
"27"	26	2.0435	10	"r4"
"28"	27	2.0919	10	"r4"
"29"	28	2.1483	10	"r4"
"30"	29	2.1966	10	"r4"
"31"	30	2.2517	10	"r4"
"32"	31	2.3001	10	"r4"
"33"	32	2.351	10	"r4"
"34"	33	2.3944	10	"r4"
"35"	34	2.4423	10	"r4"
"36"	35	2.4926	10	"r4"
"37"	36	2.539	10	"r4"
"38"	37	2.5931	10	"r4"
"39"	38	2.6359	10	"r4"
"40"	39	2.6928	10	"r4"
"41"	40	2.7384	10	"r4"
"42"	41	2.7889	10	"r4"
"43"	42	2.8442	10	"r4"
"44"	43	2.8941	10	"r4"
"45"	44	2.9441	10	"r4"
"46"	45	3.0054	10	"r4"
"47"	46	3.0613	10	"r4"
"48"	47	3.1211	10	"r4"
"49"	48	3.18	10	"r4"
"50"	49	3.2457	10	"r4"
"51"	50	3.3124	10	"r4"
"52"	51	3.3845	10	"r4"
"53"	52	3.457	10	"r4"
"54"	53	3.5354	10	"r4"
"55"	54	3.612	10	"r4"
"56"	55	3.6869	10	"r4"
"57"	56	3.7624	10	"r4"
"58"	57	3.8567	10	"r4"
"59"	58	3.9488	10	"r4"
"60"	59	4.0311	10	"r4"
"61"	60	4.1234	10	"r4"
"62"	61	4.2314	10	"r4"
"63"	62	4.3219	10	"r4"
"64"	63	4.4167	10	"r4"
"65"	64	4.5269	10	"r4"
"66"	65	4.6288	10	"r4"
"67"	66	4.7298	10	"r4"
"68"	67	4.8272	10	"r4"
"69"	68	4.9382	10	"r4"
