"V1"	"V2"	"V3"	"V4"
"1"	0	0	1	"r7"
"2"	1	0.1009	4	"r7"
"3"	2	0.2007	5	"r7"
"4"	3	0.3009	6	"r7"
"5"	4	0.401	7	"r7"
"6"	5	0.5016	7	"r7"
"7"	6	0.6012	8	"r7"
"8"	7	0.7029	8	"r7"
"9"	8	0.8016	8	"r7"
"10"	9	0.9005	8	"r7"
"11"	10	0.9992	8	"r7"
"12"	11	1.099	8	"r7"
"13"	12	1.1981	9	"r7"
"14"	13	1.3001	9	"r7"
"15"	14	1.401	9	"r7"
"16"	15	1.5051	9	"r7"
"17"	16	1.6046	9	"r7"
"18"	17	1.7051	9	"r7"
"19"	18	1.8053	10	"r7"
"20"	19	1.9026	9	"r7"
"21"	20	1.9992	10	"r7"
"22"	21	2.0915	10	"r7"
"23"	22	2.1827	10	"r7"
"24"	23	2.281	10	"r7"
"25"	24	2.3671	10	"r7"
"26"	25	2.4558	10	"r7"
"27"	26	2.5509	10	"r7"
"28"	27	2.6453	10	"r7"
"29"	28	2.7316	10	"r7"
"30"	29	2.8144	10	"r7"
"31"	30	2.906	10	"r7"
"32"	31	2.9881	10	"r7"
"33"	32	3.066	10	"r7"
"34"	33	3.1386	10	"r7"
"35"	34	3.2168	10	"r7"
"36"	35	3.2839	10	"r7"
"37"	36	3.3512	10	"r7"
"38"	37	3.4257	10	"r7"
"39"	38	3.4897	10	"r7"
"40"	39	3.559	10	"r7"
"41"	40	3.6271	10	"r7"
"42"	41	3.6903	10	"r7"
"43"	42	3.7527	10	"r7"
"44"	43	3.812	10	"r7"
"45"	44	3.8782	10	"r7"
"46"	45	3.948	10	"r7"
"47"	46	4.0081	10	"r7"
"48"	47	4.0632	10	"r7"
"49"	48	4.1238	10	"r7"
"50"	49	4.1809	10	"r7"
"51"	50	4.2304	10	"r7"
"52"	51	4.294	10	"r7"
"53"	52	4.3397	10	"r7"
"54"	53	4.3943	10	"r7"
"55"	54	4.4398	10	"r7"
"56"	55	4.4995	10	"r7"
"57"	56	4.5422	10	"r7"
"58"	57	4.586	10	"r7"
"59"	58	4.6268	10	"r7"
"60"	59	4.6778	10	"r7"
"61"	60	4.7106	10	"r7"
"62"	61	4.7564	10	"r7"
"63"	62	4.7995	10	"r7"
"64"	63	4.8439	10	"r7"
"65"	64	4.8874	10	"r7"
"66"	65	4.9343	10	"r7"
"67"	66	4.9721	10	"r7"
"68"	67	5.0195	10	"r7"
"69"	68	5.064	10	"r7"
"70"	69	5.109	10	"r7"
"71"	70	5.1544	10	"r7"
"72"	71	5.2009	10	"r7"
"73"	72	5.243	10	"r7"
"74"	73	5.2955	10	"r7"
"75"	74	5.3368	10	"r7"
"76"	75	5.3862	10	"r7"
"77"	76	5.4357	10	"r7"
"78"	77	5.4812	10	"r7"
"79"	78	5.5217	10	"r7"
"80"	79	5.5686	10	"r7"
"81"	80	5.6082	10	"r7"
"82"	81	5.6512	10	"r7"
"83"	82	5.6962	10	"r7"
"84"	83	5.7486	10	"r7"
"85"	84	5.7935	10	"r7"
"86"	85	5.8325	10	"r7"
"87"	86	5.8716	10	"r7"
"88"	87	5.9292	10	"r7"
"89"	88	5.9822	10	"r7"
"90"	89	6.0272	10	"r7"
"91"	90	6.0829	10	"r7"
"92"	91	6.1439	10	"r7"
"93"	92	6.1904	10	"r7"
"94"	93	6.2378	10	"r7"
"95"	94	6.2828	10	"r7"
"96"	95	6.3391	10	"r7"
"97"	96	6.3892	10	"r7"
"98"	97	6.4474	10	"r7"
"99"	98	6.4973	10	"r7"
"100"	99	6.5474	10	"r7"
"101"	100	6.604	10	"r7"
"102"	101	6.6503	10	"r7"
"103"	102	6.6971	10	"r7"
"104"	103	6.7527	10	"r7"
"105"	104	6.811	10	"r7"
"106"	105	6.8691	10	"r7"
"107"	106	6.928	10	"r7"
"108"	107	6.9781	10	"r7"
"109"	108	7.0334	10	"r7"
"110"	109	7.0975	10	"r7"
"111"	110	7.1591	10	"r7"
