0	0	1	r7
1	0.1009	4	r7
2	0.2007	5	r7
3	0.3009	6	r7
4	0.401	7	r7
5	0.5016	7	r7
6	0.6012	8	r7
7	0.7029	8	r7
8	0.8016	8	r7
9	0.9005	8	r7
10	0.9992	8	r7
11	1.099	8	r7
12	1.1981	9	r7
13	1.3001	9	r7
14	1.401	9	r7
15	1.5051	9	r7
16	1.6046	9	r7
17	1.7051	9	r7
18	1.8053	10	r7
19	1.9026	9	r7
20	1.9992	10	r7
21	2.0915	10	r7
22	2.1827	10	r7
23	2.281	10	r7
24	2.3671	10	r7
25	2.4558	10	r7
26	2.5509	10	r7
27	2.6453	10	r7
28	2.7316	10	r7
29	2.8144	10	r7
30	2.906	10	r7
31	2.9881	10	r7
32	3.066	10	r7
33	3.1386	10	r7
34	3.2168	10	r7
35	3.2839	10	r7
36	3.3512	10	r7
37	3.4257	10	r7
38	3.4897	10	r7
39	3.559	10	r7
40	3.6271	10	r7
41	3.6903	10	r7
42	3.7527	10	r7
43	3.812	10	r7
44	3.8782	10	r7
45	3.948	10	r7
46	4.0081	10	r7
47	4.0632	10	r7
48	4.1238	10	r7
49	4.1809	10	r7
50	4.2304	10	r7
51	4.294	10	r7
52	4.3397	10	r7
53	4.3943	10	r7
54	4.4398	10	r7
55	4.4995	10	r7
56	4.5422	10	r7
57	4.586	10	r7
58	4.6268	10	r7
59	4.6778	10	r7
60	4.7106	10	r7
61	4.7564	10	r7
62	4.7995	10	r7
63	4.8439	10	r7
64	4.8874	10	r7
65	4.9343	10	r7
66	4.9721	10	r7
67	5.0195	10	r7
68	5.064	10	r7
69	5.109	10	r7
70	5.1544	10	r7
71	5.2009	10	r7
72	5.243	10	r7
73	5.2955	10	r7
74	5.3368	10	r7
75	5.3862	10	r7
76	5.4357	10	r7
77	5.4812	10	r7
78	5.5217	10	r7
79	5.5686	10	r7
80	5.6082	10	r7
81	5.6512	10	r7
82	5.6962	10	r7
83	5.7486	10	r7
84	5.7935	10	r7
85	5.8325	10	r7
86	5.8716	10	r7
87	5.9292	10	r7
88	5.9822	10	r7
89	6.0272	10	r7
90	6.0829	10	r7
91	6.1439	10	r7
92	6.1904	10	r7
93	6.2378	10	r7
94	6.2828	10	r7
95	6.3391	10	r7
96	6.3892	10	r7
97	6.4474	10	r7
98	6.4973	10	r7
99	6.5474	10	r7
100	6.604	10	r7
101	6.6503	10	r7
102	6.6971	10	r7
103	6.7527	10	r7
104	6.811	10	r7
105	6.8691	10	r7
106	6.928	10	r7
107	6.9781	10	r7
108	7.0334	10	r7
109	7.0975	10	r7
110	7.1591	10	r7
111	7.2111	10	r7
112	7.2709	10	r7
113	7.3236	10	r7
114	7.3797	10	r7
115	7.4343	10	r7
116	7.4691	10	r7
117	7.5249	10	r7
118	7.5846	10	r7
119	7.6429	10	r7
120	7.694	10	r7
121	7.7402	10	r7
122	7.7928	9	r7
123	7.8419	9	r7
124	7.8897	9	r7
125	7.9456	9	r7
126	7.9875	9	r7
127	8.0335	9	r7
128	8.0834	9	r7
129	8.1252	9	r7
130	8.1749	9	r7
131	8.2156	9	r7
132	8.2506	9	r7
133	8.2774	9	r7
134	8.314	9	r7
135	8.3438	9	r7
136	8.3711	9	r7
137	8.4026	9	r7
138	8.431	9	r7
139	8.4606	9	r7
140	8.4867	9	r7
141	8.515	9	r7
142	8.548	9	r7
143	8.5724	9	r7
144	8.5954	9	r7
145	8.6232	9	r7
