"V1"	"V2"	"V3"	"V4"
"1"	0	0	1	"r3"
"2"	1	0.1004	4	"r3"
"3"	2	0.2011	6	"r3"
"4"	3	0.2987	6	"r3"
"5"	4	0.3942	7	"r3"
"6"	5	0.483	8	"r3"
"7"	6	0.5688	7	"r3"
"8"	7	0.6537	7	"r3"
"9"	8	0.7357	7	"r3"
"10"	9	0.8092	8	"r3"
"11"	10	0.8799	8	"r3"
"12"	11	0.95	9	"r3"
"13"	12	1.0128	9	"r3"
"14"	13	1.0712	9	"r3"
"15"	14	1.1293	10	"r3"
"16"	15	1.1863	10	"r3"
"17"	16	1.2392	10	"r3"
"18"	17	1.2916	10	"r3"
"19"	18	1.3453	10	"r3"
"20"	19	1.3937	10	"r3"
"21"	20	1.4445	10	"r3"
"22"	21	1.489	10	"r3"
"23"	22	1.5316	10	"r3"
"24"	23	1.5774	10	"r3"
"25"	24	1.6198	10	"r3"
"26"	25	1.6669	10	"r3"
"27"	26	1.7112	10	"r3"
"28"	27	1.7636	10	"r3"
"29"	28	1.8164	10	"r3"
"30"	29	1.8669	10	"r3"
"31"	30	1.916	10	"r3"
"32"	31	1.9701	10	"r3"
"33"	32	2.0203	10	"r3"
"34"	33	2.076	10	"r3"
"35"	34	2.1378	10	"r3"
"36"	35	2.2042	10	"r3"
"37"	36	2.2666	10	"r3"
"38"	37	2.3306	10	"r3"
"39"	38	2.4007	10	"r3"
"40"	39	2.4697	10	"r3"
"41"	40	2.5458	10	"r3"
"42"	41	2.6306	10	"r3"
"43"	42	2.7264	10	"r3"
"44"	43	2.8186	10	"r3"
"45"	44	2.9082	10	"r3"
"46"	45	3.0059	10	"r3"
"47"	46	3.0958	10	"r3"
"48"	47	3.2091	10	"r3"
"49"	48	3.3224	10	"r3"
"50"	49	3.4428	10	"r3"
"51"	50	3.5577	10	"r3"
"52"	51	3.6672	10	"r3"
"53"	52	3.7815	10	"r3"
"54"	53	3.9072	10	"r3"
"55"	54	4.0418	10	"r3"
"56"	55	4.1752	10	"r3"
"57"	56	4.3049	10	"r3"
"58"	57	4.4344	10	"r3"
"59"	58	4.5691	10	"r3"
"60"	59	4.7135	10	"r3"
"61"	60	4.8324	10	"r3"
"62"	61	4.9792	10	"r3"
"63"	62	5.1267	10	"r3"
"64"	63	5.2489	10	"r3"
"65"	64	5.3954	10	"r3"
"66"	65	5.5258	10	"r3"
"67"	66	5.6544	10	"r3"
"68"	67	5.7824	10	"r3"
"69"	68	5.8952	10	"r3"
"70"	69	6.0147	10	"r3"
"71"	70	6.1298	10	"r3"
"72"	71	6.247	10	"r3"
"73"	72	6.3672	10	"r3"
"74"	73	6.4897	10	"r3"
"75"	74	6.6	10	"r3"
"76"	75	6.6993	10	"r3"
"77"	76	6.8137	10	"r3"
"78"	77	6.9238	10	"r3"
"79"	78	7.0275	10	"r3"
"80"	79	7.1123	10	"r3"
"81"	80	7.2085	10	"r3"
"82"	81	7.2953	10	"r3"
"83"	82	7.3843	10	"r3"
"84"	83	7.4664	10	"r3"
"85"	84	7.544	10	"r3"
"86"	85	7.6212	10	"r3"
"87"	86	7.6878	10	"r3"
"88"	87	7.7584	10	"r3"
"89"	88	7.814	10	"r3"
"90"	89	7.8744	10	"r3"
"91"	90	7.9414	10	"r3"
"92"	91	7.9952	10	"r3"
"93"	92	8.0444	10	"r3"
"94"	93	8.0922	10	"r3"
"95"	94	8.144	10	"r3"
"96"	95	8.1925	10	"r3"
"97"	96	8.2395	10	"r3"
"98"	97	8.2751	10	"r3"
"99"	98	8.3127	10	"r3"
"100"	99	8.3554	10	"r3"
"101"	100	8.3875	10	"r3"
"102"	101	8.4203	10	"r3"
"103"	102	8.4522	10	"r3"
"104"	103	8.4863	10	"r3"
"105"	104	8.5157	10	"r3"
"106"	105	8.5414	10	"r3"
"107"	106	8.5691	10	"r3"
"108"	107	8.593	10	"r3"
"109"	108	8.6143	10	"r3"
"110"	109	8.6327	10	"r3"
"111"	110	8.6564	10	"r3"
"112"	111	8.6762	10	"r3"
"113"	112	8.6915	10	"r3"
"114"	113	8.7031	10	"r3"
"115"	114	8.7211	10	"r3"
"116"	115	8.7418	10	"r3"
"117"	116	8.7544	10	"r3"
"118"	117	8.7699	10	"r3"
"119"	118	8.7819	10	"r3"
"120"	119	8.7959	10	"r3"
"121"	120	8.807	10	"r3"
"122"	121	8.8183	10	"r3"
"123"	122	8.8286	10	"r3"
"124"	123	8.8384	10	"r3"
"125"	124	8.8491	10	"r3"
"126"	125	8.8587	10	"r3"
"127"	126	8.8674	10	"r3"
"128"	127	8.8775	10	"r3"
"129"	128	8.8857	10	"r3"
"130"	129	8.8936	9	"r3"
"131"	130	8.8993	9	"r3"
"132"	131	8.9045	9	"r3"
"133"	132	8.9091	9	"r3"
"134"	133	8.9143	9	"r3"
"135"	134	8.9198	9	"r3"
"136"	135	8.9247	9	"r3"
"137"	136	8.9286	9	"r3"
"138"	137	8.9326	9	"r3"
"139"	138	8.9379	9	"r3"
"140"	139	8.9412	9	"r3"
"141"	140	8.9451	9	"r3"
"142"	141	8.9491	9	"r3"
"143"	142	8.952	9	"r3"
"144"	143	8.9551	9	"r3"
"145"	144	8.9571	9	"r3"
"146"	145	8.9595	8	"r3"
"147"	146	8.9615	8	"r3"
"148"	147	8.9649	8	"r3"
"149"	148	8.9664	8	"r3"
"150"	149	8.9686	8	"r3"
"151"	150	8.9692	8	"r3"
"152"	151	8.972	8	"r3"
"153"	152	8.9756	8	"r3"
"154"	153	8.9769	8	"r3"
"155"	154	8.9786	8	"r3"
