"V1"	"V2"	"V3"	"V4"
"1"	0	0	1	"r6"
"2"	1	0.1002	5	"r6"
"3"	2	0.2007	5	"r6"
"4"	3	0.2998	7	"r6"
"5"	4	0.401	7	"r6"
"6"	5	0.5046	7	"r6"
"7"	6	0.6038	7	"r6"
"8"	7	0.6988	7	"r6"
"9"	8	0.7986	7	"r6"
"10"	9	0.8997	8	"r6"
"11"	10	0.999	8	"r6"
"12"	11	1.0942	9	"r6"
"13"	12	1.1923	8	"r6"
"14"	13	1.2924	9	"r6"
"15"	14	1.3917	9	"r6"
"16"	15	1.4827	9	"r6"
"17"	16	1.5817	10	"r6"
"18"	17	1.6786	10	"r6"
"19"	18	1.7721	10	"r6"
"20"	19	1.867	10	"r6"
"21"	20	1.9607	10	"r6"
"22"	21	2.052	10	"r6"
"23"	22	2.138	10	"r6"
"24"	23	2.2273	10	"r6"
"25"	24	2.3154	10	"r6"
"26"	25	2.4015	10	"r6"
"27"	26	2.4902	10	"r6"
"28"	27	2.5671	10	"r6"
"29"	28	2.6462	10	"r6"
"30"	29	2.7116	10	"r6"
"31"	30	2.7841	10	"r6"
"32"	31	2.855	10	"r6"
"33"	32	2.9188	10	"r6"
"34"	33	2.9833	10	"r6"
"35"	34	3.0493	10	"r6"
"36"	35	3.1151	10	"r6"
"37"	36	3.183	10	"r6"
"38"	37	3.2405	10	"r6"
"39"	38	3.2975	10	"r6"
"40"	39	3.3581	10	"r6"
"41"	40	3.4154	10	"r6"
"42"	41	3.4753	10	"r6"
"43"	42	3.5375	10	"r6"
"44"	43	3.595	10	"r6"
"45"	44	3.6379	10	"r6"
"46"	45	3.6937	10	"r6"
"47"	46	3.7423	10	"r6"
"48"	47	3.7946	10	"r6"
"49"	48	3.848	10	"r6"
"50"	49	3.8956	10	"r6"
"51"	50	3.9438	10	"r6"
"52"	51	3.9922	10	"r6"
"53"	52	4.0353	10	"r6"
"54"	53	4.0776	10	"r6"
"55"	54	4.1262	10	"r6"
"56"	55	4.1844	10	"r6"
"57"	56	4.2312	10	"r6"
"58"	57	4.2741	10	"r6"
"59"	58	4.3212	10	"r6"
"60"	59	4.3769	10	"r6"
"61"	60	4.422	10	"r6"
"62"	61	4.47	10	"r6"
"63"	62	4.5187	10	"r6"
"64"	63	4.5623	10	"r6"
"65"	64	4.6127	10	"r6"
"66"	65	4.6666	10	"r6"
"67"	66	4.7166	10	"r6"
"68"	67	4.7673	10	"r6"
"69"	68	4.819	10	"r6"
"70"	69	4.8701	10	"r6"
"71"	70	4.9229	10	"r6"
"72"	71	4.9755	10	"r6"
"73"	72	5.0313	10	"r6"
"74"	73	5.0913	10	"r6"
"75"	74	5.1422	10	"r6"
"76"	75	5.2044	10	"r6"
"77"	76	5.2714	10	"r6"
"78"	77	5.3218	10	"r6"
"79"	78	5.3691	10	"r6"
"80"	79	5.4381	10	"r6"
"81"	80	5.502	10	"r6"
"82"	81	5.5622	10	"r6"
"83"	82	5.6169	10	"r6"
"84"	83	5.6722	10	"r6"
