0	1	0	0	e
0.1	0.99	0.01	0	e
0.2	0.9801	0.0198	0.0001	e
0.3	0.970299	0.029403	0.000298	e
0.4	0.960596	0.038812	0.00059203	e
0.5	0.95099	0.0480298	0.00098015	e
0.6	0.94148	0.0570594	0.00146045	e
0.7	0.932065	0.0659036	0.00203104	e
0.8	0.922745	0.0745652	0.00269008	e
0.9	0.913517	0.083047	0.00343573	e
1	0.904382	0.0913517	0.0042662	e
1.1	0.895338	0.099482	0.00517972	e
1.2	0.886385	0.107441	0.00617454	e
1.3	0.877521	0.11523	0.00724894	e
1.4	0.868746	0.122853	0.00840124	e
1.5	0.860058	0.130312	0.00962977	e
1.6	0.851458	0.137609	0.0109329	e
1.7	0.842943	0.144748	0.012309	e
1.8	0.834514	0.15173	0.0137565	e
1.9	0.826169	0.158558	0.0152738	e
2	0.817907	0.165234	0.0168593	e
2.1	0.809728	0.17176	0.0185117	e
2.2	0.801631	0.17814	0.0202293	e
2.3	0.793614	0.184375	0.0220107	e
2.4	0.785678	0.190467	0.0238544	e
2.5	0.777821	0.19642	0.0257591	e
2.6	0.770043	0.202234	0.0277233	e
2.7	0.762343	0.207912	0.0297456	e
2.8	0.754719	0.213456	0.0318248	e
2.9	0.747172	0.218869	0.0339593	e
3	0.7397	0.224152	0.036148	e
3.1	0.732303	0.229307	0.0383895	e
3.2	0.72498	0.234337	0.0406826	e
3.3	0.717731	0.239244	0.043026	e
3.4	0.710553	0.244028	0.0454184	e
3.5	0.703448	0.248694	0.0478587	e
3.6	0.696413	0.253241	0.0503456	e
3.7	0.689449	0.257673	0.052878	e
3.8	0.682555	0.261991	0.0554548	e
3.9	0.675729	0.266196	0.0580747	e
4	0.668972	0.270292	0.0607366	e
4.1	0.662282	0.274278	0.0634395	e
4.2	0.655659	0.278158	0.0661823	e
4.3	0.649103	0.281933	0.0689639	e
4.4	0.642612	0.285605	0.0717832	e
4.5	0.636185	0.289175	0.0746393	e
4.6	0.629824	0.292645	0.077531	e
4.7	0.623525	0.296017	0.0804575	e
4.8	0.61729	0.299292	0.0834177	e
4.9	0.611117	0.302472	0.0864106	e
5	0.605006	0.305559	0.0894353	e
5.1	0.598956	0.308553	0.0924909	e
5.2	0.592966	0.311457	0.0955764	e
5.3	0.587037	0.314272	0.098691	e
5.4	0.581166	0.317	0.101834	e
5.5	0.575355	0.319642	0.105004	e
5.6	0.569601	0.322199	0.1082	e
5.7	0.563905	0.324673	0.111422	e
5.8	0.558266	0.327065	0.114669	e
5.9	0.552683	0.329377	0.11794	e
6	0.547157	0.33161	0.121233	e
6.1	0.541685	0.333766	0.124549	e
6.2	0.536268	0.335845	0.127887	e
6.3	0.530906	0.337849	0.131245	e
6.4	0.525596	0.33978	0.134624	e
6.5	0.520341	0.341638	0.138022	e
6.6	0.515137	0.343425	0.141438	e
6.7	0.509986	0.345142	0.144872	e
6.8	0.504886	0.34679	0.148324	e
6.9	0.499837	0.348371	0.151792	e
7	0.494839	0.349886	0.155275	e
7.1	0.48989	0.351335	0.158774	e
7.2	0.484991	0.352721	0.162288	e
7.3	0.480141	0.354044	0.165815	e
7.4	0.47534	0.355305	0.169355	e
7.5	0.470587	0.356505	0.172908	e
7.6	0.465881	0.357646	0.176473	e
7.7	0.461222	0.358728	0.18005	e
7.8	0.45661	0.359753	0.183637	e
7.9	0.452044	0.360722	0.187235	e
8	0.447523	0.361635	0.190842	e
8.1	0.443048	0.362494	0.194458	e
8.2	0.438618	0.363299	0.198083	e
8.3	0.434231	0.364053	0.201716	e
8.4	0.429889	0.364754	0.205357	e
8.5	0.42559	0.365406	0.209004	e
8.6	0.421334	0.366008	0.212658	e
