Time	Displacement	BinCount	Variance	Velocity	Label
115	33.74	52	13.9468	0.22	1093480131402113
116	33.98	53	13.9928	0.24	1093480131402113
117	34.16	53	14.0682	0.18	1093480131402113
118	34.51	54	14.232	0.35	1093480131402113
119	34.85	53	14.215	0.34	1093480131402113
120	35.02	54	14.4277	0.17	1093480131402113
121	35.55	54	14.4754	0.53	1093480131402113
122	35.83	53	14.7354	0.28	1093480131402113
123	36.13	53	14.821	0.3	1093480131402113
124	36.46	54	14.7803	0.33	1093480131402113
125	36.82	53	15.0053	0.36	1093480131402113
126	37.25	52	15.0458	0.43	1093480131402113
127	37.59	51	15.0779	0.34	1093480131402113
128	38.04	52	15.4618	0.45	1093480131402113
129	38.42	52	15.4717	0.38	1093480131402113
130	38.73	52	15.5453	0.31	1093480131402113
131	39.14	52	15.5808	0.41	1093480131402113
132	39.29	53	15.7945	0.15	1093480131402113
133	39.92	53	15.821	0.63	1093480131402113
134	40.49	53	16.1003	0.57	1093480131402113
135	40.83	55	16.132	0.34	1093480131402113
136	41.2	55	16.1543	0.37	1093480131402113
137	41.4	55	16.2274	0.2	1093480131402113
138	41.84	55	16.3525	0.44	1093480131402113
139	42.15	55	16.2304	0.31	1093480131402113
140	42.71	55	16.2282	0.56	1093480131402113
141	43.32	55	16.3119	0.61	1093480131402113
142	43.86	55	16.4219	0.54	1093480131402113
143	44.3	55	16.5611	0.44	1093480131402113
144	44.81	54	16.6131	0.51	1093480131402113
145	45.42	56	16.6143	0.61	1093480131402113
146	45.83	55	16.6764	0.41	1093480131402113
147	46.4	55	16.7642	0.57	1093480131402113
148	46.85	55	16.9064	0.45	1093480131402113
149	47.36	56	16.96	0.51	1093480131402113
150	47.96	55	16.9118	0.6	1093480131402113
151	48.33	55	17.0632	0.37	1093480131402113
152	48.93	56	17.0128	0.6	1093480131402113
153	49.36	56	17.154	0.43	1093480131402113
154	49.83	55	17.1989	0.47	1093480131402113
155	50.22	55	17.1704	0.39	1093480131402113
156	50.63	56	17.2013	0.41	1093480131402113
157	51.21	57	17.1174	0.58	1093480131402113
158	51.72	57	17.2558	0.51	1093480131402113
159	52.38	57	17.2103	0.66	1093480131402113
160	52.79	57	17.2051	0.41	1093480131402113
161	53.42	58	17.1503	0.63	1093480131402113
162	53.69	58	17.2625	0.27	1093480131402113
163	54.16	57	17.1553	0.47	1093480131402113
164	54.5	59	17.1628	0.34	1093480131402113
165	54.76	58	17.2459	0.26	1093480131402113
166	55.23	59	17.1221	0.47	1093480131402113
167	55.77	59	17.1239	0.54	1093480131402113
168	56.06	60	17.1271	0.29	1093480131402113
169	56.4	60	17.0892	0.34	1093480131402113
170	56.83	61	17.0444	0.43	1093480131402113
171	57.29	59	16.9043	0.46	1093480131402113
172	57.51	59	16.9254	0.22	1093480131402113
173	57.97	60	16.7925	0.46	1093480131402113
174	58.34	60	16.8212	0.37	1093480131402113
175	58.62	61	16.7564	0.28	1093480131402113
176	59.1	61	16.5502	0.48	1093480131402113
177	59.22	62	16.674	0.12	1093480131402113
178	59.57	62	16.6113	0.35	1093480131402113
179	59.92	63	16.4086	0.35	1093480131402113
180	60.17	64	16.3933	0.25	1093480131402113
181	60.44	65	16.1962	0.27	1093480131402113
182	60.8	66	16.0745	0.36	1093480131402113
183	61.08	65	15.8683	0.28	1093480131402113
184	61.36	66	15.8774	0.28	1093480131402113
185	61.61	67	15.9448	0.25	1093480131402113
186	62.08	67	15.5667	0.47	1093480131402113
187	62.49	65	15.5904	0.41	1093480131402113
188	62.79	66	15.5086	0.3	1093480131402113
189	63.17	65	15.3281	0.38	1093480131402113
190	63.39	66	15.4363	0.22	1093480131402113
191	63.66	68	15.3637	0.27	1093480131402113
192	64.02	69	15.2833	0.36	1093480131402113
193	64.36	67	14.9973	0.34	1093480131402113
194	64.71	70	14.9698	0.35	1093480131402113
195	65.13	70	14.5634	0.42	1093480131402113
196	65.38	73	14.6648	0.25	1093480131402113
197	65.74	71	14.5283	0.36	1093480131402113
198	66.02	72	14.4208	0.28	1093480131402113
199	66.26	73	14.468	0.24	1093480131402113
200	66.61	71	14.1675	0.35	1093480131402113
201	66.95	71	13.9412	0.34	1093480131402113
202	67.28	68	13.6522	0.33	1093480131402113
203	67.52	66	13.4978	0.24	1093480131402113
204	67.72	66	13.5319	0.2	1093480131402113
205	68.08	66	13.1337	0.36	1093480131402113
206	68.21	68	13.1349	0.13	1093480131402113
207	68.41	68	12.9754	0.2	1093480131402113
208	68.57	71	13.1429	0.16	1093480131402113
209	68.74	70	12.9843	0.17	1093480131402113
210	69.04	71	12.9181	0.3	1093480131402113
211	69.18	73	12.7698	0.14	1093480131402113
212	69.41	72	12.8005	0.23	1093480131402113
213	69.59	72	12.6725	0.18	1093480131402113
214	69.77	74	12.7258	0.18	1093480131402113
215	69.97	74	12.5574	0.2	1093480131402113
216	70.11	74	12.636	0.14	1093480131402113
217	70.25	73	12.2437	0.14	1093480131402113
218	70.5	73	12.0826	0.25	1093480131402113
219	70.75	73	12.1374	0.25	1093480131402113
220	70.9	73	12.2613	0.15	1093480131402113
221	71.13	73	11.8934	0.23	1093480131402113
222	71.19	73	12.2794	0.06	1093480131402113
223	71.43	73	12.1101	0.24	1093480131402113
224	71.65	73	11.7485	0.22	1093480131402113
225	71.81	72	11.6316	0.16	1093480131402113
226	71.96	72	11.6262	0.15	1093480131402113
227	72.2	72	11.3062	0.24	1093480131402113
228	72.39	72	11.3683	0.19	1093480131402113
229	72.54	72	11.4965	0.15	1093480131402113
230	72.75	72	11.3709	0.21	1093480131402113
231	72.95	72	11.4135	0.2	1093480131402113
232	73.05	72	11.5138	0.1	1093480131402113
233	73.23	72	11.3357	0.18	1093480131402113
234	73.49	72	11.2894	0.26	1093480131402113
235	73.71	72	10.9798	0.22	1093480131402113
236	73.89	72	11.0701	0.18	1093480131402113
237	74.08	72	11.0835	0.19	1093480131402113
238	74.27	71	10.9666	0.19	1093480131402113
239	74.46	71	11.0999	0.19	1093480131402113
240	74.59	71	11.1585	0.13	1093480131402113
241	74.75	69	11.1475	0.16	1093480131402113
242	74.93	70	11.2359	0.18	1093480131402113
243	75.11	70	11.4489	0.18	1093480131402113
244	75.31	70	11.3346	0.2	1093480131402113
245	75.58	69	11.1581	0.27	1093480131402113
246	75.78	68	11.0395	0.2	1093480131402113
247	75.96	68	11.326	0.18	1093480131402113
248	76.13	67	11.4522	0.17	1093480131402113
249	76.28	65	11.3102	0.15	1093480131402113
250	76.43	65	11.4064	0.15	1093480131402113
251	76.63	67	11.0324	0.2	1093480131402113
252	76.84	66	11.1429	0.21	1093480131402113
253	76.95	67	11.3722	0.11	1093480131402113
254	77.16	68	11.2243	0.21	1093480131402113
