Time	Displacement	BinCount	Variance	Velocity	Label
121	8.85	7	1.04762	0	496398819188463
122	8.84	8	1.15516	-0.01	496398819188463
123	8.85	8	1.1034	0.01	496398819188463
124	8.86	9	1.04422	0.01	496398819188463
125	8.86	9	1.07722	0	496398819188463
126	8.86	9	1.09563	0	496398819188463
127	8.86	9	1.10923	0	496398819188463
128	8.88	9	0.95163	0.02	496398819188463
129	8.89	9	0.870575	0.01	496398819188463
130	8.88	9	0.992774	-0.01	496398819188463
131	8.89	9	0.90989	0.01	496398819188463
132	8.9	9	0.8	0.01	496398819188463
133	8.89	9	0.920815	-0.01	496398819188463
134	8.89	9	0.931612	0	496398819188463
135	8.89	9	0.942284	0	496398819188463
136	8.89	9	0.926229	0	496398819188463
137	8.89	9	0.931612	0	496398819188463
138	8.89	9	0.926229	0	496398819188463
139	8.9	9	0.842615	0.01	496398819188463
140	8.89	9	0.920815	-0.01	496398819188463
141	8.9	9	0.842615	0.01	496398819188463
142	8.89	9	0.926229	-0.01	496398819188463
143	8.89	9	0.898833	0	496398819188463
144	8.88	8	0.97242	-0.01	496398819188463
145	8.89	8	0.920815	0.01	496398819188463
146	8.91	6	0.762824	0.02	496398819188463
147	8.9	6	0.894427	-0.01	496398819188463
148	8.92	6	0.680882	0.02	496398819188463
149	8.93	6	0.5245	0.01	496398819188463
150	8.92	5	0.695414	-0.01	496398819188463
151	8.93	5	0.570175	0.01	496398819188463
152	8.92	4	0.709648	-0.01	496398819188463
153	8.93	4	0.595903	0.01	496398819188463
154	8.93	4	0.620564	0	496398819188463
155	8.93	4	0.620564	0	496398819188463
156	8.93	4	0.612454	0	496398819188463
157	8.94	4	0.50636	0.01	496398819188463
158	8.94	3	0.553534	0	496398819188463
159	8.95	3	0.421307	0.01	496398819188463
160	8.95	3	0.455522	0	496398819188463
161	8.95	3	0.466369	0	496398819188463
162	8.94	3	0.637495	-0.01	496398819188463
163	8.94	3	0.637495	0	496398819188463
164	8.95	3	0.466369	0.01	496398819188463
165	8.94	3	0.637495	-0.01	496398819188463
166	8.95	3	0.48734	0.01	496398819188463
167	8.95	3	0.48734	0	496398819188463
168	8.95	3	0.48734	0	496398819188463
169	8.94	3	0.629603	-0.01	496398819188463
170	8.94	3	0.629603	0	496398819188463
171	8.95	3	0.466369	0.01	496398819188463
172	8.95	3	0.466369	0	496398819188463
173	8.95	3	0.466369	0	496398819188463
174	8.95	3	0.466369	0	496398819188463
175	8.95	3	0.455522	0	496398819188463
176	8.95	3	0.455522	0	496398819188463
177	8.95	3	0.455522	0	496398819188463
178	8.95	3	0.44441	0	496398819188463
179	8.95	3	0.47697	0	496398819188463
180	8.95	3	0.554527	0	496398819188463
181	8.96	3	0.397995	0.01	496398819188463
182	8.96	3	0.397995	0	496398819188463
183	8.95	3	0.597913	-0.01	496398819188463
184	8.95	3	0.589491	0	496398819188463
185	8.95	3	0.606218	0	496398819188463
186	8.96	3	0.422374	0.01	496398819188463
187	8.95	3	0.606218	-0.01	496398819188463
188	8.96	3	0.410366	0.01	496398819188463
189	8.96	3	0.422374	0	496398819188463
190	8.95	3	0.597913	-0.01	496398819188463
191	8.95	3	0.597913	0	496398819188463
192	8.96	3	0.410366	0.01	496398819188463
193	8.96	3	0.434051	0	496398819188463
194	8.95	3	0.606218	-0.01	496398819188463
195	8.95	3	0.606218	0	496398819188463
196	8.96	3	0.422374	0.01	496398819188463
197	8.96	3	0.410366	0	496398819188463
198	8.95	3	0.597913	-0.01	496398819188463
199	8.96	3	0.410366	0.01	496398819188463
200	8.96	3	0.410366	0	496398819188463
201	8.95	3	0.589491	-0.01	496398819188463
202	8.95	3	0.580948	0	496398819188463
203	8.95	3	0.580948	0	496398819188463
204	8.95	3	0.597913	0	496398819188463
205	8.96	3	0.410366	0.01	496398819188463
206	8.96	3	0.422374	0	496398819188463
207	8.95	3	0.597913	-0.01	496398819188463
208	8.95	3	0.580948	0	496398819188463
209	8.95	3	0.589491	0	496398819188463
210	8.96	3	0.422374	0.01	496398819188463
211	8.95	3	0.580948	-0.01	496398819188463
212	8.96	3	0.410366	0.01	496398819188463
213	8.95	3	0.589491	-0.01	496398819188463
214	8.94	3	0.725534	-0.01	496398819188463
215	8.95	3	0.580948	0.01	496398819188463
216	8.95	3	0.606218	0	496398819188463
217	8.96	3	0.445421	0.01	496398819188463
218	8.96	3	0.445421	0	496398819188463
219	8.96	3	0.467333	0	496398819188463
220	8.96	3	0.445421	0	496398819188463
221	8.95	3	0.61441	-0.01	496398819188463
222	8.95	3	0.646142	0	496398819188463
223	8.95	3	0.638357	0	496398819188463
224	8.95	3	0.638357	0	496398819188463
225	8.96	3	0.467333	0.01	496398819188463
226	8.96	3	0.498397	0	496398819188463
227	8.96	3	0.498397	0	496398819188463
228	8.96	3	0.508331	0	496398819188463
229	8.96	3	0.498397	0	496398819188463
