0	0	1
1	0.0994	5
2	0.1997	6
3	0.3014	7
4	0.4013	7
5	0.5021	7
6	0.6023	8
7	0.7036	8
8	0.8027	8
9	0.9045	9
10	1.0036	9
11	1.1052	9
12	1.2046	10
13	1.3036	10
14	1.4033	10
15	1.5051	10
16	1.6054	10
17	1.7032	10
18	1.8076	10
19	1.9105	10
20	2.0086	10
21	2.1104	10
22	2.2129	10
23	2.3138	10
24	2.4118	10
25	2.5081	10
26	2.609	10
27	2.7071	10
28	2.8078	10
29	2.909	10
30	3.0073	10
31	3.1061	10
32	3.2038	10
33	3.3075	10
34	3.4074	10
35	3.5071	10
36	3.6081	10
37	3.7097	10
38	3.8088	10
39	3.9064	10
40	4.0012	10
41	4.0983	10
42	4.1991	10
43	4.2925	10
44	4.3857	10
45	4.4827	10
46	4.5803	10
47	4.6812	10
48	4.7743	10
49	4.8624	10
50	4.957	10
51	5.0459	10
52	5.1373	10
53	5.2307	10
54	5.328	10
55	5.4134	10
56	5.5043	10
57	5.5859	10
58	5.6667	10
59	5.7556	10
60	5.8395	10
61	5.9243	10
62	6.0111	10
63	6.0936	10
64	6.1779	10
65	6.2587	10
66	6.3389	10
67	6.4189	10
68	6.4923	10
69	6.5738	10
70	6.6504	10
71	6.7202	10
72	6.7871	10
73	6.8564	10
74	6.9271	10
75	6.9971	10
76	7.0605	10
77	7.1284	10
78	7.1971	10
79	7.26	10
80	7.3204	10
81	7.378	10
82	7.4333	10
83	7.4879	10
84	7.5449	10
85	7.5952	10
86	7.6488	10
87	7.6979	10
88	7.7445	10
89	7.7896	10
90	7.8386	10
91	7.8812	10
92	7.9223	10
93	7.9634	10
94	8.004	10
95	8.0417	10
96	8.0755	10
97	8.1127	10
98	8.1486	10
99	8.1841	10
100	8.2196	10
101	8.2543	10
102	8.2843	10
103	8.3141	10
104	8.3419	10
105	8.371	10
106	8.3985	10
107	8.4224	10
108	8.4447	10
109	8.4691	10
110	8.4892	10
111	8.5133	10
112	8.5347	10
113	8.5562	10
114	8.5745	10
115	8.5912	10
116	8.6115	10
117	8.6278	10
118	8.6462	10
119	8.6609	10
120	8.6758	10
121	8.6902	10
122	8.7041	10
123	8.7164	10
124	8.7306	10
125	8.7439	10
126	8.7547	10
127	8.7673	10
128	8.7788	10
129	8.7907	10
130	8.7977	10
131	8.8099	10
132	8.819	10
133	8.8275	10
134	8.8374	10
135	8.8458	10
136	8.8542	10
137	8.8619	9
138	8.8685	9
139	8.8748	9
140	8.8822	9
141	8.8881	9
142	8.8928	9
143	8.8981	9
144	8.903	9
145	8.9076	9
146	8.9138	9
147	8.9191	8
148	8.9226	8
149	8.9261	8
150	8.931	8
151	8.9351	8
152	8.9381	8
153	8.9412	8
154	8.9439	8
155	8.9464	8
156	8.9492	8
157	8.9518	8
158	8.9547	8
159	8.9567	8
160	8.959	8
161	8.9613	8
162	8.9625	8
163	8.965	8
164	8.9672	8
165	8.9688	8
166	8.9708	8
167	8.9726	8
168	8.9739	8
169	8.9754	8
170	8.9772	8
171	8.979	7
172	8.9802	7
173	8.9814	7
174	8.9827	7
175	8.9834	7
176	0.5131	7
177	4.8811	7
178	8.5379	6
179	8.717	6
180	8.4486	6
181	8.6284	6
182	8.6292	6
183	0.3113	6
184	2.3695	6
185	1.3816	6
186	3.6167	6
187	8.003	5
188	4.2395	5
189	2.5388	5
190	0.6532	5
191	7.5549	5
192	1.7269	5
193	1.0077	5
194	6.3868	5
195	1.095	5
196	4.4124	5
197	3.3338	5
198	4.9499	5
199	0.7323	5
200	5.3975	5
201	5.5773	5
202	0.6402	5
203	1.8959	5
204	0.2795	5
205	0.7285	5
206	2.2538	5
207	0.2785	5
208	1.8035	5
209	0.2778	5
210	0.9061	5
211	0.8159	5
212	0.0966	5
213	2.2498	4
214	2.6087	4
215	1.4417	4
216	1.8007	4
217	2.07	4
218	2.1592	4
219	1.8899	4
220	0.2732	4
221	0.7222	4
222	1.7093	4
223	1.7095	4
224	0.1818	4
225	1.1705	4
226	0.5411	4
227	0.3611	4
228	0.7203	4
229	1.0797	4
230	0.2704	4
231	0.8097	4
232	0.3603	4
233	0.6298	4
234	0.6298	2
235	0.5398	2
236	0.5398	2
237	0.3604	2
238	0.4498	2
239	0.4498	2
240	0.2701	2
241	0.2699	2
242	0.2699	2
243	0.2699	2
244	0.2699	2
245	0.2699	2
246	0.2699	2
247	0.2699	2
248	0.2698	2
249	0.18	2
250	0.1799	2
251	0.1799	2
252	0.1799	2
253	0.1799	2
254	0.1799	2
255	0.1799	2
256	0.1799	2
257	0.1799	2
258	0.1799	2
259	0.1799	2
260	0.1799	2
261	0.1799	2
262	0.0899	2
263	0.0899	2
264	0.0899	2
265	0.0899	2
266	0.0899	2
267	0.0899	2
268	0.0899	2
269	0.0899	2
270	0.0899	2
271	0.0899	2
272	0.09	1
