Time	Displacement	BinCount	Variance	Velocity	Label
121	8.736	7	0.807034	0.012	334035168108023
122	8.742	7	0.805255	0.006	334035168108023
123	8.762	7	0.774826	0.02	334035168108023
124	8.777	7	0.732988	0.015	334035168108023
125	8.779	7	0.732229	0.002	334035168108023
126	8.791	7	0.711561	0.012	334035168108023
127	8.809	7	0.692473	0.018	334035168108023
128	8.818	7	0.665489	0.009	334035168108023
129	8.83	7	0.651997	0.012	334035168108023
130	8.838	7	0.640122	0.008	334035168108023
131	8.846	7	0.635833	0.008	334035168108023
132	8.846	6	0.606864	0	334035168108023
133	8.86	6	0.597829	0.014	334035168108023
134	8.873	6	0.566455	0.013	334035168108023
135	8.888	6	0.521973	0.015	334035168108023
136	8.895	6	0.484742	0.007	334035168108023
137	8.903	6	0.479157	0.008	334035168108023
138	8.903	6	0.480199	0	334035168108023
139	8.911	6	0.468059	0.008	334035168108023
140	8.918	6	0.446403	0.007	334035168108023
141	8.924	5	0.418598	0.006	334035168108023
142	8.929	5	0.402441	0.005	334035168108023
143	8.934	5	0.391974	0.005	334035168108023
144	8.943	5	0.373833	0.009	334035168108023
145	8.945	5	0.361905	0.002	334035168108023
146	8.951	5	0.359999	0.006	334035168108023
147	8.958	5	0.300393	0.007	334035168108023
148	8.963	4	0.294331	0.005	334035168108023
149	8.963	4	0.28919	0	334035168108023
150	8.968	4	0.256858	0.005	334035168108023
151	8.969	4	0.289895	0.001	334035168108023
152	8.974	4	0.263295	0.005	334035168108023
153	8.972	4	0.310187	-0.002	334035168108023
154	8.974	4	0.237327	0.002	334035168108023
155	8.975	4	0.257633	0.001	334035168108023
156	8.976	4	0.272808	0.001	334035168108023
157	8.978	4	0.276615	0.002	334035168108023
158	8.98	4	0.244131	0.002	334035168108023
159	8.982	4	0.229513	0.002	334035168108023
160	8.981	4	0.240081	-0.001	334035168108023
161	8.982	4	0.262061	0.001	334035168108023
162	8.985	4	0.234041	0.003	334035168108023
163	8.986	4	0.196987	0.001	334035168108023
164	8.985	4	0.246526	-0.001	334035168108023
165	8.987	4	0.220977	0.002	334035168108023
166	8.987	4	0.220977	0	334035168108023
167	8.988	4	0.19964	0.001	334035168108023
168	8.989	4	0.197178	0.001	334035168108023
169	8.991	3	0.172971	0.002	334035168108023
170	8.992	3	0.164122	0.001	334035168108023
171	8.991	3	0.184171	-0.001	334035168108023
172	8.991	3	0.223426	0	334035168108023
173	8.991	3	0.223426	0	334035168108023
174	8.993	3	0.199877	0.002	334035168108023
175	8.994	3	0.178785	0.001	334035168108023
176	8.994	3	0.209676	0	334035168108023
177	8.994	3	0.221278	0	334035168108023
178	8.996	3	0.181615	0.002	334035168108023
179	8.995	3	0.225776	-0.001	334035168108023
180	8.996	3	0.192312	0.001	334035168108023
181	8.996	3	0.197444	0	334035168108023
182	8.997	3	0.148294	0.001	334035168108023
183	8.998	2	0.118305	0.001	334035168108023
184	8.997	2	0.161217	-0.001	334035168108023
185	8.997	2	0.15489	0	334035168108023
186	8.996	2	0.176023	-0.001	334035168108023
187	8.996	2	0.18704	0	334035168108023
188	8.996	2	0.18704	0	334035168108023
189	8.998	2	0.0446766	0.002	334035168108023
190	8.998	2	0.114	0	334035168108023
191	8.998	2	0.104862	0	334035168108023
192	8.998	2	0.130369	0	334035168108023
193	8.998	2	0.104862	0	334035168108023
194	8.997	2	0.14139	-0.001	334035168108023
195	8.997	2	0.122438	0	334035168108023
196	8.998	2	0.0446766	0.001	334035168108023
197	8.997	2	0.17886	-0.001	334035168108023
198	8.999	2	0.0774532	0.002	334035168108023
199	8.998	2	0.158101	-0.001	334035168108023
200	8.999	2	0.10954	0.001	334035168108023
201	8.999	2	0.12247	0	334035168108023
202	8.999	2	0.10954	0	334035168108023
203	8.999	2	0.10954	0	334035168108023
204	8.999	2	0.10954	0	334035168108023
205	8.999	2	0.099995	0	334035168108023
206	8.998	2	0.158101	-0.001	334035168108023
207	8.999	2	0.114013	0.001	334035168108023
208	8.998	2	0.176057	-0.001	334035168108023
209	8.999	2	0.12247	0.001	334035168108023
210	8.998	2	0.181648	-0.001	334035168108023
211	8.999	2	0.126487	0.001	334035168108023
212	9	1	0	0.001	334035168108023
